onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
54521.7598	1.199489863	1	1	1	9	1	1	3	n/a	n/a	54522.65887	n/a
n/a	n/a	1	2	1	9	1	2	3	n/a	n/a	54523.85869	n/a
n/a	n/a	1	3	1	9	1	3	3	n/a	n/a	54525.05989	n/a
n/a	n/a	1	4	1	9	1	4	3	n/a	n/a	54526.2591	n/a
n/a	n/a	1	5	1	9	1	5	3	n/a	n/a	54527.45956	n/a
54527.85984	1.10353646	1	6	1	1	2	1	2	n/a	n/a	54528.6586	n/a
54529.06255	1.097388348	1	7	1	1	2	2	1	n/a	n/a	54529.8589	n/a
54530.25952	1.099796978	1	8	1	1	2	3	2	n/a	n/a	54531.06012	n/a
54531.45975	1.099039019	1	9	1	1	2	4	2	n/a	n/a	54532.25871	n/a
54532.65837	1.101581624	1	10	1	1	2	5	1	n/a	n/a	54533.45949	n/a
54533.85881	1.104362403	1	11	1	9	3	1	3	n/a	n/a	54534.65965	n/a
54535.06318	1.099541892	1	12	1	9	3	2	3	n/a	n/a	54535.86304	n/a
54536.2596	1.099069456	1	13	1	9	3	3	3	n/a	n/a	54537.0585	n/a
54537.45974	1.09991278	1	14	1	9	3	4	3	n/a	n/a	54538.25852	n/a
54538.65976	1.099875278	1	15	1	9	3	5	3	n/a	n/a	54539.4598	n/a
54539.85998	1.103254494	1	16	1	3	4	1	2	n/a	n/a	54540.65905	n/a
54541.06328	1.100374466	1	17	1	3	4	2	2	n/a	n/a	54541.86382	n/a
54542.26392	1.099512736	1	18	1	3	4	3	2	n/a	n/a	54543.06331	n/a
54543.46347	1.099959784	1	19	1	3	4	4	1	n/a	n/a	54544.26339	n/a
54544.6631	1.100134544	1	20	1	3	4	5	1	n/a	n/a	54545.4633	n/a
54545.8632	1.112509491	1	21	1	9	5	1	3	n/a	n/a	54546.6641	n/a
54547.07545	1.09966645	1	22	1	9	5	2	3	n/a	n/a	54547.87518	n/a
54548.27633	1.099914372	1	23	1	9	5	3	3	n/a	n/a	54549.07616	n/a
54549.47634	1.099009424	1	24	1	9	5	4	3	n/a	n/a	54550.27615	n/a
54550.67631	1.099759866	1	25	1	9	5	5	3	n/a	n/a	54551.47614	n/a
54551.87637	1.104729804	1	26	1	5	6	1	1	n/a	n/a	54552.67524	n/a
54553.0814	1.099160979	1	27	1	5	6	2	1	n/a	n/a	54553.88104	n/a
54554.2815	1.099583475	1	28	1	5	6	3	1	n/a	n/a	54555.08097	n/a
54555.48144	1.100413171	1	29	1	5	6	4	2	n/a	n/a	54556.28095	n/a
54556.68096	1.100572009	1	30	1	5	6	5	1	n/a	n/a	54557.48075	n/a
54557.88163	1.110786838	1	31	1	9	7	1	3	n/a	n/a	54558.6807	n/a
54559.09217	1.100765956	1	32	1	9	7	2	3	n/a	n/a	54559.89182	n/a
54560.29188	1.101084699	1	33	1	9	7	3	3	n/a	n/a	54561.09184	n/a
54561.49303	1.099788337	1	34	1	9	7	4	3	n/a	n/a	54562.2927	n/a
54562.69295	1.099768371	1	35	1	9	7	5	3	n/a	n/a	54563.49299	n/a
54563.89291	1.105302221	1	36	1	7	8	1	2	n/a	n/a	54564.69265	n/a
54565.09844	1.100137371	1	37	1	7	8	2	1	n/a	n/a	54565.89922	n/a
54566.299	1.099503833	1	38	1	7	8	3	1	n/a	n/a	54567.09871	n/a
54567.49845	1.10121262	1	39	1	7	8	4	2	n/a	n/a	54568.29959	n/a
54568.69875	1.099448529	1	40	1	7	8	5	2	n/a	n/a	54569.49929	n/a
54569.89825	1.111255698	1	41	1	9	9	1	3	n/a	n/a	54570.69895	n/a
54571.10966	1.098784231	1	42	1	9	9	2	3	n/a	n/a	54571.90943	n/a
54572.30952	1.099673006	1	43	1	9	9	3	3	n/a	n/a	54573.10933	n/a
54573.50888	1.100771718	1	44	1	9	9	4	3	n/a	n/a	54574.30977	n/a
54574.70848	1.100874277	1	45	1	9	9	5	3	n/a	n/a	54575.50945	n/a
