onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
108095.1728	1.2063339	2	1	1	9	1	1	3	n/a	n/a	n/a	n/a
108096.3792	1.2004896	2	2	1	9	1	2	3	n/a	n/a	n/a	n/a
108097.5796	1.2004837	2	3	1	9	1	3	3	n/a	n/a	n/a	n/a
108098.7801	1.2002641	2	4	1	9	1	4	3	n/a	n/a	n/a	n/a
108099.9804	1.2004691	2	5	1	9	1	5	3	n/a	n/a	n/a	n/a
108101.1809	1.2003879	2	6	1	9	1	6	3	n/a	n/a	n/a	n/a
108102.3813	1.2004214	2	7	1	9	1	7	3	n/a	n/a	n/a	n/a
108103.5817	1.2003621	2	8	1	9	1	8	3	n/a	n/a	n/a	n/a
108104.782	1.2003872	2	9	1	9	1	9	3	n/a	n/a	n/a	n/a
108105.9824	1.2004507	2	10	1	9	1	10	3	n/a	n/a	n/a	n/a
108107.1829	1.2003749	2	11	1	9	1	11	3	n/a	n/a	n/a	n/a
108108.3832	1.2004314	2	12	1	9	1	12	3	n/a	n/a	n/a	n/a
108109.5837	1.2003822	2	13	1	9	1	13	3	n/a	n/a	n/a	n/a
108110.7841	1.2003918	2	14	1	9	1	14	3	n/a	n/a	n/a	n/a
108111.9845	1.2004285	2	15	1	9	1	15	3	n/a	n/a	n/a	n/a
108113.1849	1.2003865	2	16	1	9	1	16	3	n/a	n/a	n/a	n/a
108114.3853	1.2004504	2	17	1	1	2	1	2	8	1	108114.7855	0.6140648
108115.5857	1.200404	2	18	1	1	2	2	2	8	1	108115.9858	0.5148321
108116.7861	1.2003555	2	19	1	1	2	3	1	7	1	108117.1862	0.6098609
108117.9865	1.2005129	2	20	1	1	2	4	2	7	1	108118.3867	0.4169648
108119.187	1.2002837	2	21	1	1	2	5	1	7	1	108119.587	0.4153984
108120.3873	1.2004707	2	22	1	1	2	6	2	6	1	108120.7875	0.4151799
108121.5877	1.2004059	2	23	1	1	2	7	2	6	1	108121.9879	0.4180804
108122.7882	1.2003646	2	24	1	1	2	8	1	6	1	108123.1882	0.6161476
108123.9885	1.200478	2	25	1	1	2	9	1	5	1	108124.3887	0.5155608
108125.189	1.2003377	2	26	1	1	2	10	1	5	1	108125.5891	0.5179829
108126.3893	1.2004282	2	27	1	1	2	11	1	5	0	108126.7895	0.6155879
108127.5898	1.2003857	2	28	1	1	2	12	1	6	1	108127.9898	0.5154908
108128.7901	1.2004553	2	29	1	1	2	13	1	6	1	108129.1903	0.4149249
108129.9906	1.200358	2	30	1	1	2	14	2	6	1	108130.3908	0.4154289
108131.191	1.2004872	2	31	1	1	2	15	1	5	1	108131.5911	0.4148367
108132.3914	1.2003466	2	32	1	1	2	16	1	5	1	108132.7915	0.4153313
108133.5918	1.2003708	2	33	1	1	2	17	1	5	1	108133.992	0.5147171
108134.7922	1.2004895	2	34	1	1	2	18	1	4	1	108135.1924	0.5153679
108135.9927	1.2003417	2	35	1	1	2	19	1	4	1	108136.3927	0.5146585
