onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
1934.654819	1.1993709	1	1	9	1	1	3	1935.85419	n/a	n/a	n/a	n/a
1935.85419	1.1998209	1	2	9	1	2	3	1937.054011	n/a	n/a	n/a	n/a
1937.054011	1.199836	1	3	9	1	3	3	1938.253847	n/a	n/a	n/a	n/a
1938.253847	1.1998652	1	4	9	1	4	3	1939.453712	n/a	n/a	n/a	n/a
1939.453712	1.1997565	1	5	9	1	5	3	1940.653469	n/a	n/a	n/a	n/a
1940.653469	1.1998376	1	6	9	1	6	3	1941.853306	n/a	n/a	n/a	n/a
1941.853306	1.1998645	1	7	9	1	7	3	1943.053171	n/a	n/a	n/a	n/a
1943.053171	1.1997925	1	8	9	1	8	3	1944.252963	n/a	n/a	n/a	n/a
1944.252963	1.1998237	1	9	9	1	9	3	1945.452787	n/a	n/a	n/a	n/a
1945.452787	1.1997987	1	10	9	1	10	3	1946.652586	n/a	n/a	n/a	n/a
1946.652586	1.1999188	1	11	9	1	11	3	1947.852505	n/a	n/a	n/a	n/a
1947.852505	1.1997668	1	12	9	1	12	3	1949.052271	n/a	n/a	n/a	n/a
1949.052271	1.1998311	1	13	9	1	13	3	1950.252103	n/a	n/a	n/a	n/a
1950.252103	1.1998079	1	14	9	1	14	3	1951.45191	n/a	n/a	n/a	n/a
1951.45191	1.1998336	1	15	9	1	15	3	1952.651744	n/a	n/a	n/a	n/a
1952.651744	1.1997954	1	16	9	1	16	3	1953.851539	n/a	n/a	n/a	n/a
1953.851539	1.199942318	1	17	1	2	1	1	1955.051482	9	n/a	1954.251485	n/a
1955.051482	1.199785882	1	18	1	2	2	2	1956.251268	9	n/a	1955.451315	n/a
1956.251268	1.1997823	1	19	1	2	3	1	1957.45105	9	n/a	1956.651161	n/a
1957.45105	1.1998473	1	20	1	2	4	1	1958.650897	9	n/a	1957.851	n/a
1958.650897	1.1997714	1	21	1	2	5	2	1959.850669	9	n/a	1959.050804	n/a
1959.850669	1.1997682	1	22	1	2	6	2	1961.050437	9	n/a	1960.250615	n/a
1961.050437	1.1998934	1	23	1	2	7	1	1962.25033	9	n/a	1961.450543	n/a
1962.25033	1.1998519	1	24	1	2	8	1	1963.450182	9	n/a	1962.650291	n/a
1963.450182	1.1997987	1	25	1	2	9	2	1964.649981	9	1	1963.850105	0.7053734
1964.649981	1.1998294	1	26	1	2	10	1	1965.84981	9	1	1965.049931	0.6058001
