onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
91256.02769	1.2032122	4	1	9	1	1	3	91257.2309	n/a	n/a	n/a	n/a
91257.2309	1.2004028	4	2	9	1	2	3	91258.4313	n/a	n/a	n/a	n/a
91258.4313	1.2004185	4	3	9	1	3	3	91259.63172	n/a	n/a	n/a	n/a
91259.63172	1.2004347	4	4	9	1	4	3	91260.83215	n/a	n/a	n/a	n/a
91260.83215	1.2004143	4	5	9	1	5	3	91262.03257	n/a	n/a	n/a	n/a
91262.03257	1.200392	4	6	9	1	6	3	91263.23296	n/a	n/a	n/a	n/a
91263.23296	1.2003469	4	7	9	1	7	3	91264.43331	n/a	n/a	n/a	n/a
91264.43331	1.2004066	4	8	9	1	8	3	91265.63371	n/a	n/a	n/a	n/a
91265.63371	1.2004627	4	9	9	1	9	3	91266.83418	n/a	n/a	n/a	n/a
91266.83418	1.2003656	4	10	9	1	10	3	91268.03454	n/a	n/a	n/a	n/a
91268.03454	1.2004647	4	11	9	1	11	3	91269.23501	n/a	n/a	n/a	n/a
91269.23501	1.2003632	4	12	9	1	12	3	91270.43537	n/a	n/a	n/a	n/a
91270.43537	1.2005209	4	13	9	1	13	3	91271.63589	n/a	n/a	n/a	n/a
91271.63589	1.2002809	4	14	9	1	14	3	91272.83617	n/a	n/a	n/a	n/a
91272.83617	1.200441	4	15	9	1	15	3	91274.03661	n/a	n/a	n/a	n/a
91274.03661	1.2003698	4	16	9	1	16	3	91275.23698	n/a	n/a	n/a	n/a
91275.23698	1.2004362	4	17	1	2	1	1	91276.43742	8	1	91275.63722	0.4155642
91276.43742	1.2003408	4	18	1	2	2	2	91277.63776	8	1	91276.83751	0.04707910001
91277.63776	1.2004561	4	19	1	2	3	1	91278.83822	7	1	91278.03785	0.2171571
91278.83822	1.2004431	4	20	1	2	4	2	91280.03866	7	1	91279.23826	0.0397806
91280.03866	1.2003254	4	21	1	2	5	1	91281.23898	7	1	91280.43872	n/a
91281.23898	1.2004329	4	22	1	2	6	2	91282.43942	6	1	91281.63896	n/a
91282.43942	1.200457	4	23	1	2	7	1	91283.63987	6	1	91282.83951	n/a
91283.63987	1.2085738	4	24	1	2	8	1	91284.84845	6	1	91284.03995	0.6274421
91284.84845	1.2004414	4	25	1	2	9	2	91286.04889	5	1	91285.24869	0.5157678
91286.04889	1.2004388	4	26	1	2	10	2	91287.24933	5	0	91286.44905	0.1431714
91287.24933	1.2003486	4	27	1	2	11	1	91288.44968	6	0	91287.64937	n/a
91288.44968	1.200584	4	28	1	2	12	2	91289.65026	7	n/a	91288.84995	n/a
91289.65026	1.2002478	4	29	1	2	13	2	91290.85051	7	0	91290.05019	0.6149493
91290.85051	1.2004227	4	30	1	2	14	1	91292.05093	8	0	91291.2507	0.7153538
91292.05093	1.200336	4	31	1	2	15	1	91293.25127	9	1	91292.4511	0.5156428
91293.25127	1.2003928	4	32	1	2	16	1	91294.45166	9	0	91293.65154	0.4160263
91294.45166	1.2004765	4	33	1	2	17	1	91295.65214	10	1	91294.85181	0.4157102
91295.65214	1.2003878	4	34	1	2	18	2	91296.85252	10	1	91296.05219	0.5157707
91296.85252	1.2003448	4	35	1	2	19	2	91298.05287	10	1	91297.25266	0.5160059
91298.05287	1.2004057	4	36	1	2	20	1	91299.25327	9	1	91298.45306	0.4154737
91299.25327	1.2004485	4	37	1	2	21	2	91300.45372	9	1	91299.65345	0.4395082
91300.45372	1.2004017	4	38	1	2	22	1	91301.65412	9	0	91300.85387	0.5151079
91301.65412	1.200331	4	39	1	2	23	2	91302.85446	10	1	91302.05422	0.7157955
91302.85446	1.2004245	4	40	1	2	24	2	91304.05488	10	1	91303.25467	0.7157324
91304.05488	1.2003942	4	41	1	2	25	2	91305.25527	10	1	91304.455	0.7149094
91305.25527	1.2004305	4	42	1	2	26	1	91306.45571	9	n/a	91305.65542	n/a
91306.45571	1.2004739	4	43	1	2	27	1	91307.65618	9	n/a	91306.85587	n/a
91307.65618	1.2004879	4	44	1	2	28	2	91308.85667	9	n/a	91308.05631	n/a
91308.85667	1.2002188	4	45	1	2	29	2	91310.05689	9	0	91309.25661	n/a
91310.05689	1.2004771	4	46	1	2	30	2	91311.25736	10	n/a	91310.45708	n/a
91311.25736	1.200385	4	47	1	2	31	2	91312.45775	10	n/a	91311.65744	n/a
91312.45775	1.200404	4	48	1	2	32	2	91313.65815	10	n/a	91312.85784	n/a
91313.65815	1.200523	4	49	9	3	1	3	91314.85867	n/a	n/a	n/a	n/a
91314.85867	1.2002535	4	50	9	3	2	3	91316.05893	n/a	n/a	n/a	n/a
91316.05893	1.2004604	4	51	9	3	3	3	91317.25939	n/a	n/a	n/a	n/a
91317.25939	1.2003025	4	52	9	3	4	3	91318.45969	n/a	n/a	n/a	n/a
91318.45969	1.2004619	4	53	9	3	5	3	91319.66015	n/a	n/a	n/a	n/a
91319.66015	1.2003891	4	54	9	3	6	3	91320.86054	n/a	n/a	n/a	n/a
91320.86054	1.200463	4	55	9	3	7	3	91322.06101	n/a	n/a	n/a	n/a
91322.06101	1.200351	4	56	9	3	8	3	91323.26136	n/a	n/a	n/a	n/a
91323.26136	1.2004084	4	57	9	3	9	3	91324.46176	n/a	n/a	n/a	n/a
91324.46176	1.2004719	4	58	9	3	10	3	91325.66224	n/a	n/a	n/a	n/a
91325.66224	1.2003646	4	59	9	3	11	3	91326.8626	n/a	n/a	n/a	n/a
91326.8626	1.200384	4	60	9	3	12	3	91328.06298	n/a	n/a	n/a	n/a
91328.06298	1.2003612	4	61	9	3	13	3	91329.26335	n/a	n/a	n/a	n/a
91329.26335	1.200344	4	62	9	3	14	3	91330.46369	n/a	n/a	n/a	n/a
91330.46369	1.2005095	4	63	9	3	15	3	91331.6642	n/a	n/a	n/a	n/a
91331.6642	1.200368	4	64	9	3	16	3	91332.86457	n/a	n/a	n/a	n/a
91332.86457	1.2003207	4	65	3	4	1	2	91334.06489	10	0	91333.2647	0.4379412
91334.06489	1.2005923	4	66	3	4	2	1	91335.26548	11	0	91334.46516	0.4166083
91335.26548	1.2002477	4	67	3	4	3	1	91336.46573	12	1	91335.66544	0.5162294
91336.46573	1.2004404	4	68	3	4	4	1	91337.66617	12	0	91336.86594	0.417016
91337.66617	1.2003705	4	69	3	4	5	1	91338.86654	13	1	91338.06631	0.3162694
91338.86654	1.2003593	4	70	3	4	6	1	91340.0669	13	1	91339.26667	0.4399184
91340.0669	1.2004313	4	71	3	4	7	1	91341.26733	13	n/a	91340.46714	n/a
91341.26733	1.2005234	4	72	3	4	8	2	91342.46785	13	1	91341.66754	0.6171307
91342.46785	1.2003051	4	73	3	4	9	1	91343.66816	12	1	91342.86784	0.6158247
91343.66816	1.2005358	4	74	3	4	10	2	91344.86869	12	1	91344.06831	0.7167758
91344.86869	1.2002254	4	75	3	4	11	1	91346.06892	12	n/a	91345.26865	n/a
91346.06892	1.2003904	4	76	3	4	12	1	91347.26931	12	n/a	91346.46914	n/a
91347.26931	1.2004425	4	77	3	4	13	2	91348.46975	12	1	91347.66944	0.6163843
91348.46975	1.2003788	4	78	3	4	14	2	91349.67013	11	1	91348.86985	0.5163862
91349.67013	1.2003914	4	79	3	4	15	2	91350.87052	11	1	91350.07031	0.5163058
91350.87052	1.2004969	4	80	3	4	16	1	91352.07102	11	1	91351.27064	0.4166334
91352.07102	1.2003642	4	81	3	4	17	2	91353.27138	10	1	91352.47114	0.3164768
91353.27138	1.2003233	4	82	3	4	18	2	91354.47171	10	0	91353.6715	0.3366023
91354.47171	1.2004805	4	83	3	4	19	2	91355.67219	11	1	91354.87192	0.4161424
91355.67219	1.2003244	4	84	3	4	20	1	91356.87251	11	1	91356.07226	0.4172726
91356.87251	1.2004081	4	85	3	4	21	2	91358.07292	11	0	91357.27263	0.440003
91358.07292	1.2004917	4	86	3	4	22	2	91359.27341	12	1	91358.47309	0.615547
91359.27341	1.2003504	4	87	3	4	23	2	91360.47376	12	1	91359.67355	0.6157264
91360.47376	1.2003594	4	88	3	4	24	2	91361.67412	12	n/a	91360.87386	n/a
91361.67412	1.2004059	4	89	3	4	25	2	91362.87453	12	1	91362.07422	0.7090829
91362.87453	1.20043	4	90	3	4	26	1	91364.07496	11	1	91363.27472	0.6172093
91364.07496	1.2004388	4	91	3	4	27	2	91365.2754	11	n/a	91364.47512	n/a
91365.2754	1.2003578	4	92	3	4	28	1	91366.47575	11	1	91365.67549	0.4171224
91366.47575	1.2004408	4	93	3	4	29	1	91367.67619	11	1	91366.87594	0.5170885
91367.67619	1.2003693	4	94	3	4	30	2	91368.87656	10	1	91368.07628	0.3409996
91368.87656	1.2004755	4	95	3	4	31	1	91370.07704	10	1	91369.27667	0.1162814
91370.07704	1.2004153	4	96	3	4	32	2	91371.27746	10	1	91370.47709	0.04830520001
91371.27746	1.2002932	4	97	9	5	1	3	91372.47775	n/a	n/a	n/a	n/a
91372.47775	1.2004611	4	98	9	5	2	3	91373.67821	n/a	n/a	n/a	n/a
91373.67821	1.2003084	4	99	9	5	3	3	91374.87852	n/a	n/a	n/a	n/a
91374.87852	1.2004822	4	100	9	5	4	3	91376.079	n/a	n/a	n/a	n/a
91376.079	1.2004506	4	101	9	5	5	3	91377.27945	n/a	n/a	n/a	n/a
91377.27945	1.2003234	4	102	9	5	6	3	91378.47977	n/a	n/a	n/a	n/a
91378.47977	1.2004327	4	103	9	5	7	3	91379.68021	n/a	n/a	n/a	n/a
91379.68021	1.2003914	4	104	9	5	8	3	91380.8806	n/a	n/a	n/a	n/a
91380.8806	1.2004106	4	105	9	5	9	3	91382.08101	n/a	n/a	n/a	n/a
91382.08101	1.2004051	4	106	9	5	10	3	91383.28141	n/a	n/a	n/a	n/a
91383.28141	1.2005679	4	107	9	5	11	3	91384.48198	n/a	n/a	n/a	n/a
91384.48198	1.200299	4	108	9	5	12	3	91385.68228	n/a	n/a	n/a	n/a
91385.68228	1.2002767	4	109	9	5	13	3	91386.88256	n/a	n/a	n/a	n/a
91386.88256	1.2003958	4	110	9	5	14	3	91388.08295	n/a	n/a	n/a	n/a
91388.08295	1.2005026	4	111	9	5	15	3	91389.28346	n/a	n/a	n/a	n/a
91389.28346	1.2003856	4	112	9	5	16	3	91390.48384	n/a	n/a	n/a	n/a
91390.48384	1.2003393	4	113	5	6	1	2	91391.68418	9	1	91390.88396	0.3125256
91391.68418	1.2004056	4	114	5	6	2	1	91392.88459	9	1	91392.08428	0.213985
91392.88459	1.2003986	4	115	5	6	3	2	91394.08498	9	1	91393.28476	0.1448604
91394.08498	1.2003754	4	116	5	6	4	2	91395.28536	8	0	91394.48516	0.0395037
91395.28536	1.2004105	4	117	5	6	5	1	91396.48577	9	0	91395.68556	0.1404088
91396.48577	1.2004493	4	118	5	6	6	1	91397.68622	10	1	91396.88594	0.2145359
91397.68622	1.2003707	4	119	5	6	7	1	91398.88659	10	1	91398.08636	0.6148474
91398.88659	1.2004757	4	120	5	6	8	1	91400.08707	10	1	91399.2868	0.7156825
91400.08707	1.200364	4	121	5	6	9	2	91401.28743	9	1	91400.48717	0.6147815
91401.28743	1.2003687	4	122	5	6	10	1	91402.4878	9	1	91401.68752	0.613956
91402.4878	1.2004862	4	123	5	6	11	1	91403.68829	9	1	91402.88791	0.7157601
91403.68829	1.2003185	4	124	5	6	12	2	91404.8886	8	n/a	91404.08831	n/a
91404.8886	1.2004653	4	125	5	6	13	1	91406.08907	8	1	91405.28884	0.7158146
91406.08907	1.2003212	4	126	5	6	14	1	91407.28939	8	n/a	91406.48911	n/a
91407.28939	1.2004136	4	127	5	6	15	1	91408.4898	8	n/a	91407.68958	n/a
91408.4898	1.2004437	4	128	5	6	16	1	91409.69025	8	n/a	91408.88993	n/a
91409.69025	1.2003742	4	129	5	6	17	2	91410.89062	8	n/a	91410.09032	n/a
91410.89062	1.2004278	4	130	5	6	18	2	91412.09105	8	n/a	91411.2907	n/a
91412.09105	1.2004382	4	131	5	6	19	1	91413.29149	8	n/a	91412.49114	n/a
91413.29149	1.2003914	4	132	5	6	20	2	91414.49188	8	n/a	91413.69158	n/a
91414.49188	1.2003038	4	133	5	6	21	2	91415.69218	8	n/a	91414.89202	n/a
91415.69218	1.2004519	4	134	5	6	22	1	91416.89263	8	1	91416.09232	0.6147625
91416.89263	1.2004926	4	135	5	6	23	1	91418.09313	8	1	91417.29274	0.615075
91418.09313	1.2003974	4	136	5	6	24	1	91419.29352	7	0	91418.49329	0.3152482
91419.29352	1.2003454	4	137	5	6	25	2	91420.49387	8	1	91419.69365	0.6151429
91420.49387	1.2003503	4	138	5	6	26	2	91421.69422	8	0	91420.89398	0.7156566
