onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
1555985.966	1.198033854	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
1555987.164	1.207057046	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
1555988.371	1.1988578	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
1555989.57	1.198800085	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
1555990.769	1.198792079	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
1555991.967	1.198767736	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
1555993.166	1.198824082	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
1555994.365	1.198800918	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
1555995.564	1.198793285	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
1555996.763	1.198757215	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
1555997.961	1.1987158	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
1555999.16	1.1989171	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
1556000.359	1.1987193	1	13	1	9	1	13	3	n/a	n/a	n/a	n/a
1556001.558	1.198864285	1	14	1	9	1	14	3	n/a	n/a	n/a	n/a
1556002.757	1.198793579	1	15	1	9	1	15	3	n/a	n/a	n/a	n/a
1556003.955	1.198778236	1	16	1	9	1	16	3	n/a	n/a	n/a	n/a
1556005.154	1.198859485	1	17	1	1	2	1	1	9	1	1556005.554	0.5263983754
1556006.353	1.198751349	1	18	1	1	2	2	2	9	1	1556006.753	0.5068507211
1556007.552	1.198794376	1	19	1	1	2	3	1	9	1	1556007.951	0.5077098
1556008.751	1.19879397	1	20	1	1	2	4	1	8	1	1556009.15	0.6075725455
1556009.949	1.198796721	1	21	1	1	2	5	2	8	1	1556010.349	0.5087607
1556011.148	1.198801685	1	22	1	1	2	6	2	8	1	1556011.548	0.5073832029
1556012.347	1.198794955	1	23	1	1	2	7	2	7	1	1556012.747	0.607237
1556013.546	1.198797145	1	24	1	1	2	8	2	7	1	1556013.945	0.5287613363
1556014.744	1.198778415	1	25	1	1	2	9	2	7	1	1556015.144	0.6074770999
1556015.943	1.1988036	1	26	1	1	2	10	2	6	1	1556016.343	0.6068241149
1556017.142	1.1987708	1	27	1	1	2	11	1	6	1	1556017.542	0.5257258271
1556018.341	1.198826039	1	28	1	1	2	12	1	6	1	1556018.74	0.6335329153
1556019.54	1.198793	1	29	1	1	2	13	1	5	1	1556019.939	0.6304515305
1556020.738	1.198798561	1	30	1	1	2	14	2	5	1	1556021.138	0.6299655151
1556021.937	1.19879437	1	31	1	1	2	15	2	5	1	1556022.337	0.6316955001
1556023.136	1.19872693	1	32	1	1	2	16	2	4	1	1556023.535	0.6119901
1556024.335	1.198863009	1	33	1	1	2	17	2	4	1	1556024.734	0.6134895061
1556025.534	1.198794624	1	34	1	1	2	18	2	4	1	1556025.933	0.6121481
1556026.732	1.198796146	1	35	1	1	2	19	1	3	1	1556027.132	0.7337439002
1556027.931	1.198791621	1	36	1	1	2	20	1	3	1	1556028.331	0.7339826364
1556029.13	1.1987572	1	37	1	1	2	21	2	3	n/a	1556029.53	n/a
1556030.329	1.1988302	1	38	1	1	2	22	2	3	n/a	1556030.728	n/a
1556031.528	1.1987723	1	39	1	1	2	23	2	3	n/a	1556031.927	n/a
1556032.726	1.198824	1	40	1	1	2	24	1	3	n/a	1556033.126	n/a
1556033.925	1.198791	1	41	1	1	2	25	1	3	n/a	1556034.325	n/a
1556035.124	1.1986792	1	42	1	1	2	26	2	3	n/a	1556035.524	n/a
1556036.323	1.198923979	1	43	1	1	2	27	2	3	n/a	1556036.722	n/a
1556037.522	1.198788779	1	44	1	1	2	28	1	3	0	1556037.921	0.03434749995
1556038.72	1.198729042	1	45	1	1	2	29	1	4	1	1556039.12	0.4337259999
1556039.919	1.198861524	1	46	1	1	2	30	2	4	0	1556040.319	0.4129160999
1556041.118	1.198718076	1	47	1	1	2	31	1	5	1	1556041.517	0.4326601001
1556042.317	1.1987634	1	48	1	1	2	32	2	5	1	1556042.716	0.6109500604
1556043.515	1.198912118	1	49	1	9	3	1	3	n/a	n/a	n/a	n/a
1556044.714	1.198778582	1	50	1	9	3	2	3	n/a	n/a	n/a	n/a
1556045.913	1.1988066	1	51	1	9	3	3	3	n/a	n/a	n/a	n/a
1556047.112	1.1987511	1	52	1	9	3	4	3	n/a	n/a	n/a	n/a
1556048.311	1.1986986	1	53	1	9	3	5	3	n/a	n/a	n/a	n/a
1556049.509	1.198948009	1	54	1	9	3	6	3	n/a	n/a	n/a	n/a
1556050.708	1.19878453	1	55	1	9	3	7	3	n/a	n/a	n/a	n/a
1556051.907	1.1987912	1	56	1	9	3	8	3	n/a	n/a	n/a	n/a
1556053.106	1.198799749	1	57	1	9	3	9	3	n/a	n/a	n/a	n/a
1556054.305	1.198825412	1	58	1	9	3	10	3	n/a	n/a	n/a	n/a
1556055.504	1.198766733	1	59	1	9	3	11	3	n/a	n/a	n/a	n/a
1556056.702	1.198792467	1	60	1	9	3	12	3	n/a	n/a	n/a	n/a
1556057.901	1.1987911	1	61	1	9	3	13	3	n/a	n/a	n/a	n/a
1556059.1	1.19880154	1	62	1	9	3	14	3	n/a	n/a	n/a	n/a
1556060.299	1.198788209	1	63	1	9	3	15	3	n/a	n/a	n/a	n/a
1556061.497	1.198679052	1	64	1	9	3	16	3	n/a	n/a	n/a	n/a
1556062.696	1.198916994	1	65	1	3	4	1	2	5	1	1556063.096	0.4412993756
