onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
4792.450209	1.1979092	1	1	9	1	1	3	4793.648119	n/a	n/a	n/a	n/a
4793.648119	1.1998405	1	2	9	1	2	3	4794.847959	n/a	n/a	n/a	n/a
4794.847959	1.1998675	1	3	9	1	3	3	4796.047827	n/a	n/a	n/a	n/a
4796.047827	1.199769	1	4	9	1	4	3	4797.247595	n/a	n/a	n/a	n/a
4797.247595	1.199882758	1	5	9	1	5	3	4798.447478	n/a	n/a	n/a	n/a
4798.447478	1.199833721	1	6	9	1	6	3	4799.647312	n/a	n/a	n/a	n/a
4799.647312	1.199782621	1	7	9	1	7	3	4800.847095	n/a	n/a	n/a	n/a
4800.847095	1.1997164	1	8	9	1	8	3	4802.046811	n/a	n/a	n/a	n/a
4802.046811	1.199993279	1	9	9	1	9	3	4803.246804	n/a	n/a	n/a	n/a
4803.246804	1.199798021	1	10	9	1	10	3	4804.446602	n/a	n/a	n/a	n/a
4804.446602	1.1998256	1	11	9	1	11	3	4805.646428	n/a	n/a	n/a	n/a
4805.646428	1.1998264	1	12	9	1	12	3	4806.846254	n/a	n/a	n/a	n/a
4806.846254	1.19983	1	13	9	1	13	3	4808.046084	n/a	n/a	n/a	n/a
4808.046084	1.199884658	1	14	9	1	14	3	4809.245969	n/a	n/a	n/a	n/a
4809.245969	1.199783542	1	15	9	1	15	3	4810.445752	n/a	n/a	n/a	n/a
4810.445752	1.1996922	1	16	9	1	16	3	4811.645445	n/a	n/a	n/a	n/a
4811.645445	1.200024191	1	17	1	2	1	2	4812.845469	9	n/a	4812.045576	n/a
4812.845469	1.199747609	1	18	1	2	2	1	4814.045216	9	n/a	4813.245414	n/a
4814.045216	1.199911637	1	19	1	2	3	2	4815.245128	9	n/a	4814.445244	n/a
4815.245128	1.199788963	1	20	1	2	4	2	4816.444917	9	n/a	4815.645086	n/a
4816.444917	1.1998765	1	21	1	2	5	1	4817.644794	9	n/a	4816.844846	n/a
4817.644794	1.199835979	1	22	1	2	6	2	4818.84463	9	n/a	4818.044748	n/a
4818.84463	1.199741521	1	23	1	2	7	2	4820.044371	9	n/a	4819.244524	n/a
4820.044371	1.1997035	1	24	1	2	8	1	4821.244075	9	n/a	4820.444405	n/a
4821.244075	1.200046579	1	25	1	2	9	2	4822.444121	9	n/a	4821.644189	n/a
4822.444121	1.199835779	1	26	1	2	10	1	4823.643957	9	0	4822.844074	n/a
4823.643957	1.199837042	1	27	1	2	11	1	4824.843794	10	0	4824.043852	0.1092608
4824.843794	1.1997919	1	28	1	2	12	1	4826.043586	11	0	4825.243689	0.1111646
4826.043586	1.1998135	1	29	1	2	13	1	4827.243399	12	n/a	4826.443508	n/a
4827.243399	1.199887458	1	30	1	2	14	1	4828.443287	12	1	4827.64319	0.109279
4828.443287	1.199776542	1	31	1	2	15	2	4829.643063	12	0	4828.843152	0.4113691
4829.643063	1.199816	1	32	1	2	16	1	4830.842879	13	n/a	4830.04307	n/a
4830.842879	1.1998617	1	33	1	2	17	2	4832.042741	13	n/a	4831.242896	n/a
4832.042741	1.1998207	1	34	1	2	18	1	4833.242562	13	1	4832.442731	0.3107322
4833.242562	1.19984	1	35	1	2	19	2	4834.442402	13	0	4833.642524	0.6104296
4834.442402	1.199878058	1	36	1	2	20	1	4835.64228	14	n/a	4834.842344	n/a
4835.64228	1.199770242	1	37	1	2	21	1	4836.84205	14	0	4836.042164	0.5093609
4836.84205	1.199897437	1	38	1	2	22	2	4838.041948	15	1	4837.241917	0.5116321
4838.041948	1.199834942	1	39	1	2	23	2	4839.241782	15	1	4838.441828	0.6084602
4839.241782	1.199765521	1	40	1	2	24	2	4840.441548	15	1	4839.641663	0.7080685
4840.441548	1.1997527	1	41	1	2	25	1	4841.641301	14	0	4840.841492	0.6082626
4841.641301	1.1999699	1	42	1	2	26	2	4842.841271	15	1	4842.041321	0.7060207
4842.841271	1.1997787	1	43	1	2	27	1	4844.041049	15	0	4843.241163	0.7072054
4844.041049	1.1998826	1	44	1	2	28	1	4845.240932	15	n/a	4844.441039	n/a
4845.240932	1.1998126	1	45	1	2	29	1	4846.440744	15	1	4845.640858	n/a
4846.440744	1.199853158	1	46	1	2	30	2	4847.640598	15	0	4846.840706	0.4074509045
4847.640598	1.1998321	1	47	1	2	31	1	4848.84043	15	n/a	4848.040544	n/a
4848.84043	1.199830242	1	48	1	2	32	2	4850.04026	15	0	4849.240363	0.3067749
4850.04026	1.199794	1	49	9	3	1	3	4851.240054	n/a	n/a	n/a	n/a
4851.240054	1.1998243	1	50	9	3	2	3	4852.439878	n/a	n/a	n/a	n/a
4852.439878	1.199880358	1	51	9	3	3	3	4853.639759	n/a	n/a	n/a	n/a
4853.639759	1.199838821	1	52	9	3	4	3	4854.839597	n/a	n/a	n/a	n/a
4854.839597	1.199769321	1	53	9	3	5	3	4856.039367	n/a	n/a	n/a	n/a
4856.039367	1.199905116	1	54	9	3	6	3	4857.239272	n/a	n/a	n/a	n/a
4857.239272	1.199758884	1	55	9	3	7	3	4858.439031	n/a	n/a	n/a	n/a
4858.439031	1.1998419	1	56	9	3	8	3	4859.638873	n/a	n/a	n/a	n/a
4859.638873	1.199885024	1	57	9	3	9	3	4860.838758	n/a	n/a	n/a	n/a
4860.838758	1.199782076	1	58	9	3	10	3	4862.03854	n/a	n/a	n/a	n/a
4862.03854	1.1998412	1	59	9	3	11	3	4863.238381	n/a	n/a	n/a	n/a
