onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
5841.315441	1.5507886	1	1	9	1	1	3	5842.866229	n/a	n/a	n/a	n/a
5842.866229	1.5517823	1	2	9	1	2	3	5844.418011	n/a	n/a	n/a	n/a
5844.418011	1.5504084	1	3	9	1	3	3	5845.96842	n/a	n/a	n/a	n/a
5845.96842	1.5505744	1	4	9	1	4	3	5847.518994	n/a	n/a	n/a	n/a
5847.518994	1.549626	1	5	9	1	5	3	5849.06862	n/a	n/a	n/a	n/a
5849.06862	1.5496706	1	6	9	1	6	3	5850.618291	n/a	n/a	n/a	n/a
5850.618291	1.5501714	1	7	9	1	7	3	5852.168462	n/a	n/a	n/a	n/a
5852.168462	1.5505061	1	8	9	1	8	3	5853.718968	n/a	n/a	n/a	n/a
5853.718968	1.5500119	1	9	9	1	9	3	5855.26898	n/a	n/a	n/a	n/a
5855.26898	1.5502773	1	10	9	1	10	3	5856.819258	n/a	n/a	n/a	n/a
5856.819258	1.5503702	1	11	9	1	11	3	5858.369628	n/a	n/a	n/a	n/a
5858.369628	1.5497871	1	12	9	1	12	3	5859.919415	n/a	n/a	n/a	n/a
5859.919415	1.5506877	1	13	1	2	1	2	5861.470103	9	0	5860.403919	0.1101801
5861.470103	1.5500257	1	14	1	2	2	2	5863.020128	10	0	5861.954493	0.7798863
5863.020128	1.5499101	1	15	1	2	3	2	5864.570038	11	1	5863.504455	0.5866936
5864.570038	1.5504183	1	16	1	2	4	1	5866.120457	11	1	5865.054495	0.5864933
5866.120457	1.5504326	1	17	1	2	5	1	5867.670889	11	1	5866.605082	0.4892826
5867.670889	1.5499631	1	18	1	2	6	1	5869.220852	10	1	5868.155164	0.5876374
5869.220852	1.5500704	1	19	1	2	7	1	5870.770923	10	1	5869.705243	0.6836752
5870.770923	1.550233	1	20	1	2	8	1	5872.321156	10	1	5871.255336	0.5867154
5872.321156	1.5503173	1	21	1	2	9	2	5873.871473	9	1	5872.805605	0.780774
5873.871473	1.5502276	1	22	1	2	10	1	5875.421701	9	1	5874.355823	0.5866377
5875.421701	1.5502051	1	23	1	2	11	1	5876.971906	9	1	5875.906119	0.4891048
5876.971906	1.5504297	1	24	1	2	12	2	5878.522335	8	1	5877.456354	0.492679
5878.522335	1.5501475	1	25	1	2	13	2	5880.072483	8	1	5879.006877	0.5869335
5880.072483	1.5505113	1	26	1	2	14	2	5881.622994	8	1	5880.556862	0.7817417
5881.622994	1.550228	1	27	1	2	15	2	5883.173222	7	1	5882.107327	0.7805052
5883.173222	1.5502069	1	28	1	2	16	2	5884.723429	7	1	5883.657861	0.8772964
5884.723429	1.5497527	1	29	1	2	17	1	5886.273182	7	1	5885.207547	0.7803356
5886.273182	1.5504983	1	30	1	2	18	2	5887.82368	6	1	5886.757945	0.8772042
5887.82368	1.5497003	1	31	1	2	19	2	5889.373381	6	1	5888.307836	0.877033
5889.373381	1.5504591	1	32	1	2	20	1	5890.92384	6	1	5889.857807	0.8777166
5890.92384	1.5498114	1	33	1	2	21	2	5892.473651	5	1	5891.408135	0.7802064
5892.473651	1.5502423	1	34	1	2	22	1	5894.023893	5	1	5892.958322	0.7800207
5894.023893	1.5503338	1	35	1	2	23	2	5895.574227	5	1	5894.508093	0.7802791
5895.574227	1.5502694	1	36	1	2	24	1	5897.124496	4	1	5896.058753	0.7802107
5897.124496	1.5501052	1	37	1	2	25	2	5898.674602	4	1	5897.608903	0.974048
5898.674602	1.5504499	1	38	1	2	26	1	5900.225052	4	1	5899.159149	0.8775533
5900.225052	1.5498696	1	39	1	2	27	1	5901.774921	3	0	5900.709342	0.8773182
5901.774921	1.5501332	1	40	1	2	28	2	5903.325054	4	0	5902.259464	0.8774325
5903.325054	1.550156	1	41	1	2	29	1	5904.87521	5	n/a	5903.809366	n/a
