onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
1901.666599	1.5507669	1	1	9	1	1	3	1903.217366	n/a	n/a	n/a	n/a
1903.217366	1.5532699	1	2	9	1	2	3	1904.770636	n/a	n/a	n/a	n/a
1904.770636	1.5504136	1	3	9	1	3	3	1906.321049	n/a	n/a	n/a	n/a
1906.321049	1.5498351	1	4	9	1	4	3	1907.870884	n/a	n/a	n/a	n/a
1907.870884	1.5501637	1	5	9	1	5	3	1909.421048	n/a	n/a	n/a	n/a
1909.421048	1.5499479	1	6	9	1	6	3	1910.970996	n/a	n/a	n/a	n/a
1910.970996	1.550315	1	7	9	1	7	3	1912.521311	n/a	n/a	n/a	n/a
1912.521311	1.5503797	1	8	9	1	8	3	1914.071691	n/a	n/a	n/a	n/a
1914.071691	1.5508393	1	9	9	1	9	3	1915.62253	n/a	n/a	n/a	n/a
1915.62253	1.5503463	1	10	9	1	10	3	1917.172876	n/a	n/a	n/a	n/a
1917.172876	1.5501124	1	11	9	1	11	3	1918.722989	n/a	n/a	n/a	n/a
1918.722989	1.5506318	1	12	9	1	12	3	1920.27362	n/a	n/a	n/a	n/a
1920.27362	1.5499857	1	13	1	2	1	1	1921.823606	9	n/a	1920.757822	n/a
1921.823606	1.5500619	1	14	1	2	2	1	1923.373668	9	n/a	1922.30774	n/a
1923.373668	1.5504252	1	15	1	2	3	1	1924.924093	9	n/a	1923.858032	n/a
1924.924093	1.5499842	1	16	1	2	4	1	1926.474077	9	n/a	1925.408514	n/a
1926.474077	1.5504106	1	17	1	2	5	1	1928.024488	9	n/a	1926.958682	n/a
1928.024488	1.5498399	1	18	1	2	6	1	1929.574328	9	n/a	1928.508681	n/a
1929.574328	1.5501929	1	19	1	2	7	1	1931.124521	9	n/a	1930.058794	n/a
1931.124521	1.5502886	1	20	1	2	8	1	1932.674809	9	n/a	1931.609109	n/a
1932.674809	1.5496128	1	21	1	2	9	2	1934.224422	9	n/a	1933.159138	n/a
1934.224422	1.5499768	1	22	1	2	10	2	1935.774399	9	1	1934.708536	0.9745618
1935.774399	1.5501098	1	23	1	2	11	2	1937.324509	9	1	1936.258629	0.9743347
1937.324509	1.5502394	1	24	1	2	12	2	1938.874748	9	n/a	1937.808894	n/a
1938.874748	1.5497248	1	25	1	2	13	1	1940.424473	9	n/a	1939.35914	n/a
1940.424473	1.5498674	1	26	1	2	14	1	1941.97434	9	n/a	1940.9087	n/a
1941.97434	1.5500126	1	27	1	2	15	1	1943.524353	9	n/a	1942.458717	n/a
1943.524353	1.5499623	1	28	1	2	16	2	1945.074315	9	n/a	1944.008667	n/a
1945.074315	1.5503115	1	29	1	2	17	1	1946.624627	9	1	1945.558957	0.9747355
1946.624627	1.5503381	1	30	1	2	18	1	1948.174965	8	1	1947.109113	0.8774522
1948.174965	1.550186	1	31	1	2	19	1	1949.725151	8	1	1948.659352	0.7804172
1949.725151	1.550249	1	32	1	2	20	1	1951.2754	8	1	1950.20955	0.9742482
1951.2754	1.55026	1	33	1	2	21	2	1952.82566	7	n/a	1951.760062	n/a
1952.82566	1.5501562	1	34	1	2	22	1	1954.375816	7	n/a	1953.310038	n/a
1954.375816	1.5503954	1	35	1	2	23	1	1955.926211	7	n/a	1954.86049	n/a
1955.926211	1.5503896	1	36	1	2	24	1	1957.476601	7	1	1956.410642	0.975034
1957.476601	1.5501861	1	37	1	2	25	2	1959.026787	7	n/a	1957.961088	n/a
1959.026787	1.5495473	1	38	1	2	26	2	1960.576335	7	1	1959.511003	0.9741101
1960.576335	1.5504325	1	39	1	2	27	2	1962.126767	7	n/a	1961.060974	n/a
1962.126767	1.550058	1	40	1	2	28	2	1963.676825	7	n/a	1962.611195	n/a
1963.676825	1.5500366	1	41	1	2	29	2	1965.226862	7	n/a	1964.161286	n/a
1965.226862	1.5507944	1	42	1	2	30	1	1966.777656	7	1	1965.711681	0.974386
1966.777656	1.550112	1	43	1	2	31	1	1968.327768	6	n/a	1967.262056	n/a
1968.327768	1.5498935	1	44	1	2	32	2	1969.877661	6	0	1968.812124	0.8773694
1969.877661	1.5503941	1	45	9	3	1	3	1971.428056	n/a	n/a	n/a	n/a
1971.428056	1.5500097	1	46	9	3	2	3	1972.978065	n/a	n/a	n/a	n/a
1972.978065	1.5500638	1	47	9	3	3	3	1974.528129	n/a	n/a	n/a	n/a
1974.528129	1.5497453	1	48	9	3	4	3	1976.077874	n/a	n/a	n/a	n/a
1976.077874	1.5498209	1	49	9	3	5	3	1977.627695	n/a	n/a	n/a	n/a
1977.627695	1.5504762	1	50	9	3	6	3	1979.178171	n/a	n/a	n/a	n/a
1979.178171	1.5496882	1	51	9	3	7	3	1980.72786	n/a	n/a	n/a	n/a
1980.72786	1.5503435	1	52	9	3	8	3	1982.278203	n/a	n/a	n/a	n/a
1982.278203	1.5503124	1	53	9	3	9	3	1983.828516	n/a	n/a	n/a	n/a
1983.828516	1.5503183	1	54	9	3	10	3	1985.378834	n/a	n/a	n/a	n/a
1985.378834	1.550345	1	55	9	3	11	3	1986.929179	n/a	n/a	n/a	n/a
1986.929179	1.5500216	1	56	9	3	12	3	1988.4792	n/a	n/a	n/a	n/a
1988.4792	1.5499564	1	57	3	4	1	2	1990.029157	7	n/a	1988.963492	n/a
1990.029157	1.5501958	1	58	3	4	2	1	1991.579353	7	n/a	1990.513726	n/a
1991.579353	1.5503513	1	59	3	4	3	1	1993.129704	7	n/a	1992.063922	n/a
1993.129704	1.5504058	1	60	3	4	4	2	1994.68011	7	n/a	1993.614333	n/a
1994.68011	1.550027	1	61	3	4	5	1	1996.230137	7	n/a	1995.164602	n/a
1996.230137	1.5502676	1	62	3	4	6	1	1997.780404	7	n/a	1996.714373	n/a
1997.780404	1.5493793	1	63	3	4	7	2	1999.329784	7	1	1998.26466	0.7809026
1999.329784	1.5500736	1	64	3	4	8	2	2000.879857	7	1	1999.814109	0.6848551
2000.879857	1.5500818	1	65	3	4	9	1	2002.429939	7	1	2001.364458	0.7800219
2002.429939	1.5502117	1	66	3	4	10	2	2003.980151	6	1	2002.914198	0.6837449
2003.980151	1.5501381	1	67	3	4	11	2	2005.530289	6	0	2004.464693	0.6838831
2005.530289	1.5503744	1	68	3	4	12	2	2007.080663	7	1	2006.014818	0.6836526
2007.080663	1.5500893	1	69	3	4	13	1	2008.630753	7	1	2007.564953	0.6832315
2008.630753	1.5494771	1	70	3	4	14	2	2010.18023	7	1	2009.114802	0.8768505
2010.18023	1.549923	1	71	3	4	15	1	2011.730153	6	1	2010.664623	0.6833095
2011.730153	1.5500905	1	72	3	4	16	2	2013.280243	6	1	2012.214465	0.6836023
2013.280243	1.5503517	1	73	3	4	17	1	2014.830595	6	1	2013.764802	0.5867174
2014.830595	1.5500519	1	74	3	4	18	1	2016.380647	5	1	2015.31487	0.780273
2016.380647	1.5501038	1	75	3	4	19	1	2017.930751	5	0	2016.865261	0.780933
2017.930751	1.550511	1	76	3	4	20	1	2019.481262	6	1	2018.415331	0.780953
2019.481262	1.5497481	1	77	3	4	21	1	2021.03101	6	1	2019.965678	0.5866976
2021.03101	1.550286	1	78	3	4	22	2	2022.581296	6	1	2021.515281	0.7810247
2022.581296	1.5503264	1	79	3	4	23	1	2024.131622	5	1	2023.066036	0.8792322
2024.131622	1.5503448	1	80	3	4	24	1	2025.681967	5	1	2024.616069	0.7805618
2025.681967	1.5501236	1	81	3	4	25	2	2027.23209	5	0	2026.166625	0.7805865
2027.23209	1.5503118	1	82	3	4	26	1	2028.782402	6	1	2027.716585	0.586648
2028.782402	1.5502062	1	83	3	4	27	2	2030.332609	6	1	2029.266848	0.6833812
2030.332609	1.5500385	1	84	3	4	28	1	2031.882647	6	1	2030.816946	0.4905234
2031.882647	1.5503303	1	85	3	4	29	2	2033.432977	5	1	2032.36728	0.4893378
2033.432977	1.5503029	1	86	3	4	30	1	2034.98328	5	1	2033.917453	0.4891767
2034.98328	1.5502733	1	87	3	4	31	2	2036.533553	5	0	2035.46767	0.3924867
2036.533553	1.5503739	1	88	3	4	32	1	2038.083927	6	1	2037.018047	0.2955478
2038.083927	1.5502938	1	89	9	5	1	3	2039.634221	n/a	n/a	n/a	n/a
2039.634221	1.5500722	1	90	9	5	2	3	2041.184293	n/a	n/a	n/a	n/a
2041.184293	1.5501845	1	91	9	5	3	3	2042.734478	n/a	n/a	n/a	n/a
2042.734478	1.5502846	1	92	9	5	4	3	2044.284762	n/a	n/a	n/a	n/a
2044.284762	1.5501408	1	93	9	5	5	3	2045.834903	n/a	n/a	n/a	n/a
2045.834903	1.5502143	1	94	9	5	6	3	2047.385118	n/a	n/a	n/a	n/a
2047.385118	1.5503098	1	95	9	5	7	3	2048.935427	n/a	n/a	n/a	n/a
2048.935427	1.5503772	1	96	9	5	8	3	2050.485805	n/a	n/a	n/a	n/a
2050.485805	1.5496774	1	97	9	5	9	3	2052.035482	n/a	n/a	n/a	n/a
2052.035482	1.5499692	1	98	9	5	10	3	2053.585451	n/a	n/a	n/a	n/a
2053.585451	1.5504376	1	99	9	5	11	3	2055.135889	n/a	n/a	n/a	n/a
2055.135889	1.5501951	1	100	9	5	12	3	2056.686084	n/a	n/a	n/a	n/a
2056.686084	1.5501993	1	101	5	6	1	1	2058.236283	6	n/a	2057.170633	n/a
2058.236283	1.550046	1	102	5	6	2	1	2059.786329	6	0	2058.720826	0.8762599
2059.786329	1.5501392	1	103	5	6	3	2	2061.336468	7	1	2060.270894	0.779902
2061.336468	1.5503916	1	104	5	6	4	1	2062.88686	7	1	2061.821007	0.7804954
2062.88686	1.550149	1	105	5	6	5	1	2064.437009	7	1	2063.371242	0.7801417
