onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
3799.14983	1.5502529	1	1	9	1	1	3	3800.700083	n/a	n/a	n/a	n/a
3800.700083	1.5538775	1	2	9	1	2	3	3802.253961	n/a	n/a	n/a	n/a
3802.253961	1.5505897	1	3	9	1	3	3	3803.80455	n/a	n/a	n/a	n/a
3803.80455	1.5502008	1	4	9	1	4	3	3805.354751	n/a	n/a	n/a	n/a
3805.354751	1.5501171	1	5	9	1	5	3	3806.904868	n/a	n/a	n/a	n/a
3806.904868	1.5504597	1	6	9	1	6	3	3808.455328	n/a	n/a	n/a	n/a
3808.455328	1.5504546	1	7	9	1	7	3	3810.005782	n/a	n/a	n/a	n/a
3810.005782	1.5506752	1	8	9	1	8	3	3811.556458	n/a	n/a	n/a	n/a
3811.556458	1.5502217	1	9	9	1	9	3	3813.106679	n/a	n/a	n/a	n/a
3813.106679	1.550334	1	10	9	1	10	3	3814.657013	n/a	n/a	n/a	n/a
3814.657013	1.5501467	1	11	9	1	11	3	3816.20716	n/a	n/a	n/a	n/a
3816.20716	1.5500421	1	12	9	1	12	3	3817.757202	n/a	n/a	n/a	n/a
3817.757202	1.5502133	1	13	1	2	1	1	3819.307415	9	n/a	3818.2416	n/a
3819.307415	1.5504312	1	14	1	2	2	2	3820.857847	9	1	3819.791834	0.6835761
3820.857847	1.550124	1	15	1	2	3	1	3822.407971	9	1	3821.34216	0.9737929
3822.407971	1.5505125	1	16	1	2	4	1	3823.958483	9	1	3822.89241	0.9746624
3823.958483	1.5503329	1	17	1	2	5	2	3825.508816	8	1	3824.442999	0.9740804
3825.508816	1.5502026	1	18	1	2	6	1	3827.059019	8	1	3825.993349	0.9740105
3827.059019	1.5505448	1	19	1	2	7	2	3828.609564	8	1	3827.543526	0.8773755
3828.609564	1.5503441	1	20	1	2	8	1	3830.159908	7	1	3829.094133	0.780481
3830.159908	1.5501981	1	21	1	2	9	2	3831.710106	7	n/a	3830.644333	n/a
3831.710106	1.5502825	1	22	1	2	10	1	3833.260388	7	1	3832.194515	0.8786384
3833.260388	1.5504932	1	23	1	2	11	2	3834.810881	7	n/a	3833.745153	n/a
3834.810881	1.5504945	1	24	1	2	12	1	3836.361376	7	n/a	3835.295409	n/a
3836.361376	1.5505106	1	25	1	2	13	1	3837.911887	7	n/a	3836.846314	n/a
3837.911887	1.5505368	1	26	1	2	14	2	3839.462423	7	n/a	3838.396502	n/a
3839.462423	1.5502557	1	27	1	2	15	2	3841.012679	7	1	3839.946957	0.9743096
3841.012679	1.5500393	1	28	1	2	16	1	3842.562718	6	1	3841.496959	0.7801986
3842.562718	1.5505382	1	29	1	2	17	1	3844.113256	6	1	3843.047221	0.7804132
3844.113256	1.5501274	1	30	1	2	18	1	3845.663384	6	1	3844.597676	0.7803995
3845.663384	1.5503126	1	31	1	2	19	2	3847.213696	5	1	3846.147951	0.8781636
3847.213696	1.5502743	1	32	1	2	20	1	3848.763971	5	1	3847.698187	0.6831238
3848.763971	1.5506701	1	33	1	2	21	1	3850.314641	5	1	3849.248187	0.8773018
3850.314641	1.5502067	1	34	1	2	22	1	3851.864848	4	1	3850.798933	0.8776736
3851.864848	1.5502567	1	35	1	2	23	2	3853.415104	4	n/a	3852.349265	n/a
3853.415104	1.5503506	1	36	1	2	24	2	3854.965455	4	n/a	3853.899741	n/a
3854.965455	1.5505004	1	37	1	2	25	2	3856.515955	4	1	3855.449995	0.9744434
3856.515955	1.5500896	1	38	1	2	26	2	3858.066045	4	1	3857.000152	0.9741998
3858.066045	1.5501799	1	39	1	2	27	2	3859.616225	3	1	3858.550525	0.9747358
3859.616225	1.550115	1	40	1	2	28	2	3861.16634	3	0	3860.100751	0.8768575
3861.16634	1.5505203	1	41	1	2	29	1	3862.71686	4	1	3861.650839	0.8773731
3862.71686	1.5507955	1	42	1	2	30	1	3864.267656	4	0	3863.201734	0.7809622
3864.267656	1.5502278	1	43	1	2	31	1	3865.817883	5	1	3864.75215	0.7800529
3865.817883	1.5510529	1	44	1	2	32	1	3867.368936	5	0	3866.302373	0.4898372
3867.368936	1.5502914	1	45	9	3	1	3	3868.919228	n/a	n/a	n/a	n/a
3868.919228	1.5500605	1	46	9	3	2	3	3870.469288	n/a	n/a	n/a	n/a
3870.469288	1.5502763	1	47	9	3	3	3	3872.019564	n/a	n/a	n/a	n/a
3872.019564	1.5502493	1	48	9	3	4	3	3873.569814	n/a	n/a	n/a	n/a
3873.569814	1.5505125	1	49	9	3	5	3	3875.120326	n/a	n/a	n/a	n/a
3875.120326	1.5507345	1	50	9	3	6	3	3876.671061	n/a	n/a	n/a	n/a
3876.671061	1.5501253	1	51	9	3	7	3	3878.221186	n/a	n/a	n/a	n/a
3878.221186	1.5504434	1	52	9	3	8	3	3879.77163	n/a	n/a	n/a	n/a
3879.77163	1.5504407	1	53	9	3	9	3	3881.32207	n/a	n/a	n/a	n/a
3881.32207	1.5510662	1	54	9	3	10	3	3882.873136	n/a	n/a	n/a	n/a
3882.873136	1.5504239	1	55	9	3	11	3	3884.42356	n/a	n/a	n/a	n/a
3884.42356	1.5498375	1	56	9	3	12	3	3885.973398	n/a	n/a	n/a	n/a
3885.973398	1.5502433	1	57	3	4	1	2	3887.523641	6	n/a	3886.457922	n/a
3887.523641	1.5506428	1	58	3	4	2	1	3889.074284	6	n/a	3888.008125	n/a
3889.074284	1.5502907	1	59	3	4	3	2	3890.624575	6	n/a	3889.558814	n/a
3890.624575	1.5502324	1	60	3	4	4	2	3892.174807	6	n/a	3891.108844	n/a
3892.174807	1.5502031	1	61	3	4	5	2	3893.72501	6	n/a	3892.65944	n/a
3893.72501	1.5502586	1	62	3	4	6	2	3895.275269	6	n/a	3894.209495	n/a
3895.275269	1.5503634	1	63	3	4	7	2	3896.825632	6	0	3895.759557	0.8781317
3896.825632	1.550532	1	64	3	4	8	1	3898.376164	7	1	3897.31003	0.7806261
3898.376164	1.5505567	1	65	3	4	9	2	3899.926721	7	1	3898.860699	0.6834706
3899.926721	1.5501439	1	66	3	4	10	2	3901.476865	7	1	3900.411067	0.6835453
3901.476865	1.5501735	1	67	3	4	11	2	3903.027038	6	1	3901.961413	0.6835252
3903.027038	1.5504177	1	68	3	4	12	2	3904.577456	6	1	3903.511578	0.7805355
3904.577456	1.5501518	1	69	3	4	13	1	3906.127608	6	1	3905.061817	0.8779415
3906.127608	1.5500637	1	70	3	4	14	1	3907.677671	5	1	3906.612098	0.7809305
3907.677671	1.5504206	1	71	3	4	15	2	3909.228092	5	1	3908.162243	0.8779819
3909.228092	1.5507284	1	72	3	4	16	1	3910.77882	5	1	3909.712654	0.7812769
3910.77882	1.5509554	1	73	3	4	17	1	3912.329776	4	0	3911.263428	0.8803667
3912.329776	1.5499127	1	74	3	4	18	1	3913.879689	5	1	3912.814196	0.8777114
3913.879689	1.5507032	1	75	3	4	19	1	3915.430392	5	1	3914.36475	0.780888
