onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
11073.60253	1.5509283	3	1	9	1	1	3	11075.15346	n/a	n/a	n/a	n/a
11075.15346	1.550005	3	2	9	1	2	3	11076.70346	n/a	n/a	n/a	n/a
11076.70346	1.5502538	3	3	9	1	3	3	11078.25372	n/a	n/a	n/a	n/a
11078.25372	1.5503281	3	4	9	1	4	3	11079.80404	n/a	n/a	n/a	n/a
11079.80404	1.5502676	3	5	9	1	5	3	11081.35431	n/a	n/a	n/a	n/a
11081.35431	1.5500552	3	6	9	1	6	3	11082.90437	n/a	n/a	n/a	n/a
11082.90437	1.5501705	3	7	9	1	7	3	11084.45454	n/a	n/a	n/a	n/a
11084.45454	1.5501471	3	8	9	1	8	3	11086.00468	n/a	n/a	n/a	n/a
11086.00468	1.5501679	3	9	9	1	9	3	11087.55485	n/a	n/a	n/a	n/a
11087.55485	1.5506902	3	10	9	1	10	3	11089.10554	n/a	n/a	n/a	n/a
11089.10554	1.5500084	3	11	9	1	11	3	11090.65555	n/a	n/a	n/a	n/a
11090.65555	1.5502801	3	12	9	1	12	3	11092.20583	n/a	n/a	n/a	n/a
11092.20583	1.5498566	3	13	1	2	1	1	11093.75569	4	n/a	11092.68999	n/a
11093.75569	1.5501291	3	14	1	2	2	1	11095.30582	4	1	11094.23987	0.8779359
11095.30582	1.5503406	3	15	1	2	3	2	11096.85616	4	n/a	11095.78996	n/a
11096.85616	1.5501805	3	16	1	2	4	1	11098.40634	4	1	11097.34044	0.9745319
11098.40634	1.5502688	3	17	1	2	5	1	11099.95661	3	1	11098.89063	0.8775656
11099.95661	1.5503886	3	18	1	2	6	1	11101.50699	3	1	11100.44127	0.8772484
11101.50699	1.5502559	3	19	1	2	7	2	11103.05725	3	1	11101.99123	0.8771276
11103.05725	1.5498897	3	20	1	2	8	2	11104.60714	2	1	11103.5414	0.9745012
11104.60714	1.5500078	3	21	1	2	9	1	11106.15715	2	n/a	11105.09139	n/a
11106.15715	1.55041	3	22	1	2	10	1	11107.70756	2	n/a	11106.64148	n/a
11107.70756	1.5501001	3	23	1	2	11	2	11109.25766	2	1	11108.19188	0.5867234
11109.25766	1.5502644	3	24	1	2	12	2	11110.80792	2	1	11109.74213	0.683729
11110.80792	1.5500709	3	25	1	2	13	1	11112.35799	2	1	11111.29219	0.8784963
11112.35799	1.5503549	3	26	1	2	14	2	11113.90835	2	1	11112.8424	0.7816562
11113.90835	1.5503001	3	27	1	2	15	2	11115.45865	2	n/a	11114.39262	n/a
11115.45865	1.5502122	3	28	1	2	16	1	11117.00886	2	0	11115.94309	0.9748673
11117.00886	1.5501839	3	29	1	2	17	1	11118.55904	3	n/a	11117.49307	n/a
11118.55904	1.5501807	3	30	1	2	18	1	11120.10923	3	n/a	11119.04347	n/a
11120.10923	1.5503124	3	31	1	2	19	2	11121.65954	3	0	11120.59362	n/a
11121.65954	1.5501694	3	32	1	2	20	1	11123.20971	4	1	11122.14393	0.7799326
11123.20971	1.5500112	3	33	1	2	21	2	11124.75972	4	1	11123.69396	0.8771317
11124.75972	1.5503885	3	34	1	2	22	2	11126.31011	4	0	11125.24419	0.87741
11126.31011	1.5500939	3	35	1	2	23	1	11127.8602	5	n/a	11126.79448	n/a
11127.8602	1.5500952	3	36	1	2	24	2	11129.4103	5	n/a	11128.34486	n/a
11129.4103	1.5500399	3	37	1	2	25	1	11130.96034	5	n/a	11129.89434	n/a
11130.96034	1.5504399	3	38	1	2	26	1	11132.51078	5	n/a	11131.44495	n/a
11132.51078	1.5502213	3	39	1	2	27	1	11134.061	5	1	11132.99522	0.87667
11134.061	1.5501789	3	40	1	2	28	1	11135.61118	5	n/a	11134.54548	n/a
11135.61118	1.5506441	3	41	1	2	29	2	11137.16182	5	n/a	11136.09551	n/a
11137.16182	1.5500931	3	42	1	2	30	1	11138.71191	5	n/a	11137.64619	n/a
11138.71191	1.5502942	3	43	1	2	31	2	11140.26221	5	0	11139.19642	0.102569
11140.26221	1.5500715	3	44	1	2	32	2	11141.81228	6	1	11140.74658	0.7791971
