onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
7341.233069	1.6012612	2	1	9	1	1	3	7342.83433	n/a	n/a	n/a	n/a
7342.83433	1.5999259	2	2	9	1	2	3	7344.434256	n/a	n/a	n/a	n/a
7344.434256	1.5998152	2	3	9	1	3	3	7346.034071	n/a	n/a	n/a	n/a
7346.034071	1.5997165	2	4	9	1	4	3	7347.633788	n/a	n/a	n/a	n/a
7347.633788	1.5998151	2	5	9	1	5	3	7349.233603	n/a	n/a	n/a	n/a
7349.233603	1.5998285	2	6	9	1	6	3	7350.833431	n/a	n/a	n/a	n/a
7350.833431	1.5997894	2	7	9	1	7	3	7352.433221	n/a	n/a	n/a	n/a
7352.433221	1.599732	2	8	9	1	8	3	7354.032953	n/a	n/a	n/a	n/a
7354.032953	1.5998017	2	9	9	1	9	3	7355.632754	n/a	n/a	n/a	n/a
7355.632754	1.5998161	2	10	9	1	10	3	7357.232571	n/a	n/a	n/a	n/a
7357.232571	1.599627	2	11	9	1	11	3	7358.832197	n/a	n/a	n/a	n/a
7358.832197	1.5999351	2	12	9	1	12	3	7360.432133	n/a	n/a	n/a	n/a
7360.432133	1.5997936	2	13	9	1	13	3	7362.031926	n/a	n/a	n/a	n/a
7362.031926	1.5997684	2	14	9	1	14	3	7363.631695	n/a	n/a	n/a	n/a
7363.631695	1.5997953	2	15	9	1	15	3	7365.23149	n/a	n/a	n/a	n/a
7365.23149	1.599792	2	16	9	1	16	3	7366.831282	n/a	n/a	n/a	n/a
7366.831282	1.5997932	2	17	1	2	1	1	7368.431075	15	n/a	7367.3312	n/a
7368.431075	1.5997797	2	18	1	2	2	1	7370.030855	15	1	7368.930992	1.0040296
7370.030855	1.5998031	2	19	1	2	3	1	7371.630658	15	0	7370.530782	0.9059145
7371.630658	1.5997764	2	20	1	2	4	1	7373.230434	15	0	7372.130571	0.9102234
7373.230434	1.599636	2	21	1	2	5	2	7374.83007	15	0	7373.730216	1.0063422
7374.83007	1.59994	2	22	1	2	6	2	7376.43001	15	0	7375.330158	0.7046358
7376.43001	1.5997796	2	23	1	2	7	1	7378.02979	15	0	7376.929939	0.8106687
7378.02979	1.5997937	2	24	1	2	8	1	7379.629584	15	n/a	7378.529557	n/a
7379.629584	1.5997932	2	25	1	2	9	2	7381.229377	15	1	7380.129471	0.9054503
7381.229377	1.5997837	2	26	1	2	10	2	7382.829161	15	n/a	7381.729306	n/a
7382.829161	1.5997821	2	27	1	2	11	1	7384.428943	15	n/a	7383.329095	n/a
7384.428943	1.5996341	2	28	1	2	12	2	7386.028577	15	n/a	7384.928881	n/a
7386.028577	1.5999507	2	29	1	2	13	1	7387.628527	15	n/a	7386.528673	n/a
7387.628527	1.5997822	2	30	1	2	14	1	7389.22831	15	0	7388.128457	1.0140552
7389.22831	1.5996241	2	31	1	2	15	2	7390.827934	15	1	7389.72824	0.91144
7390.827934	1.5999566	2	32	1	2	16	1	7392.42789	15	1	7391.32791	0.912974
7392.42789	1.5997798	2	33	1	2	17	2	7394.02767	15	1	7392.927813	0.8114144
7394.02767	1.5997877	2	34	1	2	18	1	7395.627458	14	n/a	7394.527453	n/a
7395.627458	1.5997989	2	35	1	2	19	1	7397.227257	14	1	7396.127382	0.8095505
7397.227257	1.5997055	2	36	1	2	20	2	7398.826962	14	1	7397.727172	1.0109547
7398.826962	1.5998195	2	37	1	2	21	2	7400.426782	14	0	7399.326963	1.0119006
7400.426782	1.5997915	2	38	1	2	22	1	7402.026573	15	n/a	7400.926738	n/a
7402.026573	1.5998147	2	39	1	2	23	2	7403.626388	15	n/a	7402.526418	n/a
7403.626388	1.5997623	2	40	1	2	24	2	7405.22615	15	0	7404.126321	1.0109621
7405.22615	1.5998125	2	41	1	2	25	2	7406.825963	15	0	7405.725923	1.0109794
7406.825963	1.5997818	2	42	1	2	26	1	7408.425745	15	1	7407.325896	1.0080545
7408.425745	1.5997784	2	43	1	2	27	2	7410.025523	15	1	7408.925692	0.9100505
7410.025523	1.5997734	2	44	1	2	28	2	7411.625296	15	0	7410.525493	0.8138893
7411.625296	1.5997046	2	45	1	2	29	2	7413.225001	15	0	7412.125232	0.9159797
7413.225001	1.5998705	2	46	1	2	30	2	7414.824871	15	1	7413.725012	0.8087104
7414.824871	1.5997864	2	47	1	2	31	2	7416.424658	15	n/a	7415.324812	n/a
7416.424658	1.5997797	2	48	1	2	32	2	7418.024438	15	1	7416.924607	0.6152487
7418.024438	1.5997848	2	49	9	3	1	3	7419.624222	n/a	n/a	n/a	n/a
7419.624222	1.5998155	2	50	9	3	2	3	7421.224038	n/a	n/a	n/a	n/a
7421.224038	1.5997107	2	51	9	3	3	3	7422.823748	n/a	n/a	n/a	n/a
7422.823748	1.599853	2	52	9	3	4	3	7424.423601	n/a	n/a	n/a	n/a
7424.423601	1.5998239	2	53	9	3	5	3	7426.023425	n/a	n/a	n/a	n/a
7426.023425	1.599748	2	54	9	3	6	3	7427.623173	n/a	n/a	n/a	n/a
7427.623173	1.5997834	2	55	9	3	7	3	7429.222957	n/a	n/a	n/a	n/a
7429.222957	1.5997808	2	56	9	3	8	3	7430.822738	n/a	n/a	n/a	n/a
7430.822738	1.5997969	2	57	9	3	9	3	7432.422535	n/a	n/a	n/a	n/a
7432.422535	1.5997868	2	58	9	3	10	3	7434.022321	n/a	n/a	n/a	n/a
7434.022321	1.5997716	2	59	9	3	11	3	7435.622093	n/a	n/a	n/a	n/a
7435.622093	1.5997991	2	60	9	3	12	3	7437.221892	n/a	n/a	n/a	n/a
7437.221892	1.599792	2	61	9	3	13	3	7438.821684	n/a	n/a	n/a	n/a
7438.821684	1.5997775	2	62	9	3	14	3	7440.421462	n/a	n/a	n/a	n/a
7440.421462	1.599791	2	63	9	3	15	3	7442.021252	n/a	n/a	n/a	n/a
