onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
111780.7191	1.2035697	5	1	1	9	1	1	3	n/a	n/a	n/a	n/a
111781.9226	1.2003836	5	2	1	9	1	2	3	n/a	n/a	n/a	n/a
111783.123	1.2005102	5	3	1	9	1	3	3	n/a	n/a	n/a	n/a
111784.3235	1.2004055	5	4	1	9	1	4	3	n/a	n/a	n/a	n/a
111785.5239	1.2003782	5	5	1	9	1	5	3	n/a	n/a	n/a	n/a
111786.7243	1.2003568	5	6	1	9	1	6	3	n/a	n/a	n/a	n/a
111787.9247	1.2004475	5	7	1	9	1	7	3	n/a	n/a	n/a	n/a
111789.1251	1.2003636	5	8	1	9	1	8	3	n/a	n/a	n/a	n/a
111790.3255	1.2003919	5	9	1	9	1	9	3	n/a	n/a	n/a	n/a
111791.5259	1.2005163	5	10	1	9	1	10	3	n/a	n/a	n/a	n/a
111792.7264	1.2003151	5	11	1	9	1	11	3	n/a	n/a	n/a	n/a
111793.9267	1.2004586	5	12	1	9	1	12	3	n/a	n/a	n/a	n/a
111795.1272	1.2004123	5	13	1	9	1	13	3	n/a	n/a	n/a	n/a
111796.3276	1.2004154	5	14	1	9	1	14	3	n/a	n/a	n/a	n/a
111797.528	1.2004153	5	15	1	9	1	15	3	n/a	n/a	n/a	n/a
111798.7284	1.2003845	5	16	1	9	1	16	3	n/a	n/a	n/a	n/a
111799.9288	1.2004163	5	17	1	1	2	1	2	7	0	111800.3289	0.3492721
111801.1292	1.2003779	5	18	1	1	2	2	1	8	1	111801.5294	0.2374622
111802.3296	1.2003936	5	19	1	1	2	3	1	8	1	111802.7298	0.4191013
111803.53	1.2004473	5	20	1	1	2	4	2	8	1	111803.9302	0.5165939
111804.7304	1.2004024	5	21	1	1	2	5	2	7	1	111805.1306	0.5159708
111805.9308	1.2004729	5	22	1	1	2	6	2	7	1	111806.331	0.6177031
111807.1313	1.2004409	5	23	1	1	2	7	1	7	1	111807.5314	0.5159166
111808.3318	1.2003346	5	24	1	1	2	8	2	6	0	111808.7318	0.7195852
