onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
24110.76659	1.2973099	1	1	9	1	1	3	24112.0639	n/a	n/a	n/a	n/a
24112.0639	1.2998423	1	2	9	1	2	3	24113.36374	n/a	n/a	n/a	n/a
24113.36374	1.299846556	1	3	9	1	3	3	24114.66359	n/a	n/a	n/a	n/a
24114.66359	1.299773844	1	4	9	1	4	3	24115.96336	n/a	n/a	n/a	n/a
24115.96336	1.2997844	1	5	9	1	5	3	24117.26315	n/a	n/a	n/a	n/a
24117.26315	1.299861	1	6	9	1	6	3	24118.56301	n/a	n/a	n/a	n/a
24118.56301	1.2998183	1	7	9	1	7	3	24119.86283	n/a	n/a	n/a	n/a
24119.86283	1.2998143	1	8	9	1	8	3	24121.16264	n/a	n/a	n/a	n/a
24121.16264	1.2998258	1	9	9	1	9	3	24122.46247	n/a	n/a	n/a	n/a
24122.46247	1.2998233	1	10	9	1	10	3	24123.76229	n/a	n/a	n/a	n/a
24123.76229	1.2998203	1	11	9	1	11	3	24125.06211	n/a	n/a	n/a	n/a
24125.06211	1.2998209	1	12	9	1	12	3	24126.36193	n/a	n/a	n/a	n/a
24126.36193	1.2998133	1	13	9	1	13	3	24127.66174	n/a	n/a	n/a	n/a
24127.66174	1.2998312	1	14	9	1	14	3	24128.96157	n/a	n/a	n/a	n/a
24128.96157	1.2996998	1	15	9	1	15	3	24130.26127	n/a	n/a	n/a	n/a
24130.26127	1.299941	1	16	9	1	16	3	24131.56122	n/a	n/a	n/a	n/a
24131.56122	1.2998211	1	17	1	2	1	2	24132.86104	9	n/a	24131.96121	n/a
24132.86104	1.2998224	1	18	1	2	2	2	24134.16086	9	1	24133.26098	0.8095579
24134.16086	1.2998125	1	19	1	2	3	2	24135.46067	9	n/a	24134.5608	n/a
24135.46067	1.2998396	1	20	1	2	4	1	24136.76051	9	n/a	24135.86067	n/a
24136.76051	1.2998122	1	21	1	2	5	2	24138.06032	9	1	24137.16049	0.01516174414
24138.06032	1.2998229	1	22	1	2	6	1	24139.36015	9	1	24138.46031	n/a
24139.36015	1.2998422	1	23	1	2	7	1	24140.65999	8	n/a	24139.76008	n/a
24140.65999	1.2997944	1	24	1	2	8	2	24141.95978	8	0	24141.05996	0.7133330441
24141.95978	1.2998272	1	25	1	2	9	2	24143.25961	9	0	24142.35973	0.7123711
24143.25961	1.2998204	1	26	1	2	10	2	24144.55943	10	0	24143.65955	0.7090874
24144.55943	1.2998061	1	27	1	2	11	1	24145.85924	11	0	24144.95939	0.6117771
24145.85924	1.2998336	1	28	1	2	12	2	24147.15907	12	n/a	24146.25919	n/a
24147.15907	1.2998569	1	29	1	2	13	2	24148.45893	12	n/a	24147.55902	n/a
24148.45893	1.2998337	1	30	1	2	14	1	24149.75876	12	n/a	24148.85888	n/a
24149.75876	1.2998143	1	31	1	2	15	2	24151.05858	12	1	24150.15864	0.112261
24151.05858	1.2996748	1	32	1	2	16	2	24152.35825	12	n/a	24151.4585	n/a
24152.35825	1.299925	1	33	1	2	17	1	24153.65817	12	1	24152.75831	0.8128806
24153.65817	1.299806	1	34	1	2	18	1	24154.95798	12	0	24154.05816	0.7131277
24154.95798	1.2998669	1	35	1	2	19	2	24156.25785	13	1	24155.35797	0.8111829
24156.25785	1.2997872	1	36	1	2	20	2	24157.55764	13	n/a	24156.65781	n/a
24157.55764	1.299861	1	37	1	2	21	2	24158.8575	13	n/a	24157.95763	n/a
24158.8575	1.2997875	1	38	1	2	22	2	24160.15728	13	0	24159.25738	0.8112187
24160.15728	1.2998363	1	39	1	2	23	1	24161.45712	14	n/a	24160.55724	n/a
24161.45712	1.2998015	1	40	1	2	24	1	24162.75692	14	n/a	24161.85705	n/a
24162.75692	1.2998253	1	41	1	2	25	1	24164.05675	14	n/a	24163.15687	n/a
24164.05675	1.2998117	1	42	1	2	26	2	24165.35656	14	0	24164.45668	0.8115644
24165.35656	1.2998257	1	43	1	2	27	2	24166.65638	15	0	24165.75651	0.7106246
24166.65638	1.299826	1	44	1	2	28	1	24167.95621	15	n/a	24167.05632	n/a
24167.95621	1.2998221	1	45	1	2	29	1	24169.25603	15	1	24168.35621	0.7099403883
24169.25603	1.2998355	1	46	1	2	30	1	24170.55587	15	1	24169.65598	0.6041862
24170.55587	1.2998018	1	47	1	2	31	2	24171.85567	15	0	24170.9558	0.8090001
24171.85567	1.2998226	1	48	1	2	32	2	24173.15549	15	0	24172.25562	0.5078585
24173.15549	1.2997134	1	49	9	3	1	3	24174.45521	n/a	n/a	n/a	n/a
24174.45521	1.2999364	1	50	9	3	2	3	24175.75514	n/a	n/a	n/a	n/a
24175.75514	1.2998385	1	51	9	3	3	3	24177.05498	n/a	n/a	n/a	n/a
24177.05498	1.2997567	1	52	9	3	4	3	24178.35474	n/a	n/a	n/a	n/a
24178.35474	1.2998934	1	53	9	3	5	3	24179.65463	n/a	n/a	n/a	n/a
24179.65463	1.299836634	1	54	9	3	6	3	24180.95447	n/a	n/a	n/a	n/a
24180.95447	1.299772866	1	55	9	3	7	3	24182.25424	n/a	n/a	n/a	n/a
24182.25424	1.299825	1	56	9	3	8	3	24183.55406	n/a	n/a	n/a	n/a
24183.55406	1.2998325	1	57	9	3	9	3	24184.8539	n/a	n/a	n/a	n/a
