onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
5107.986153	1.1836874	1	1	1	9	1	1	3	3	n/a	n/a	n/a
5109.186075	1.1836983	1	2	1	9	1	2	3	3	n/a	n/a	n/a
5110.386429	1.1834536	1	3	1	9	1	3	3	3	n/a	n/a	n/a
5111.5863	1.1833302	1	4	1	9	1	4	3	3	n/a	n/a	n/a
5112.820563	1.1843521	1	5	1	1	2	1	1	3	n/a	5113.152431	n/a
5114.019204	1.1835111	1	6	1	1	2	2	2	3	n/a	5114.35291	n/a
5115.218735	1.1836564	1	7	1	1	2	3	1	3	n/a	5115.552187	n/a
5116.418622	1.1833598	1	8	1	1	2	4	2	3	n/a	5116.752148	n/a
5117.618849	1.1831537	1	9	1	9	3	1	3	3	n/a	n/a	n/a
5118.818563	1.1831731	1	10	1	9	3	2	3	3	n/a	n/a	n/a
5120.018356	1.1832519	1	11	1	9	3	3	3	3	n/a	n/a	n/a
5121.218221	1.1833304	1	12	1	9	3	4	3	3	n/a	n/a	n/a
5122.418542	1.1832969	1	13	1	3	4	1	1	3	n/a	5122.752303	n/a
5123.618161	1.1831773	1	14	1	3	4	2	1	3	n/a	5123.951612	n/a
5124.817952	1.1833041	1	15	1	3	4	3	1	3	n/a	5125.151322	n/a
5126.017888	1.1836746	1	16	1	3	4	4	2	3	n/a	5126.351201	n/a
5127.234958	1.1827772	1	17	1	9	5	1	3	3	n/a	n/a	n/a
5128.434351	1.18329	1	18	1	9	5	2	3	3	n/a	n/a	n/a
5129.634754	1.1828123	1	19	1	9	5	3	3	3	n/a	n/a	n/a
5130.834158	1.1832992	1	20	1	9	5	4	3	3	n/a	n/a	n/a
5132.051095	1.1829612	1	21	1	5	6	1	1	3	n/a	5132.384478	n/a
5133.25066	1.1833997	1	22	1	5	6	2	2	3	n/a	5133.584005	n/a
5134.450682	1.1831717	1	23	1	5	6	3	1	3	n/a	5134.78392	n/a
5135.650481	1.183299	1	24	1	5	6	4	1	3	n/a	5135.983809	n/a
5136.850401	1.1832764	1	25	1	9	7	1	3	3	n/a	n/a	n/a
5138.050296	1.1832855	1	26	1	9	7	2	3	3	n/a	n/a	n/a
5139.250189	1.1833215	1	27	1	9	7	3	3	3	n/a	n/a	n/a
5140.450112	1.1834119	1	28	1	9	7	4	3	3	n/a	n/a	n/a
5141.650059	1.1834842	1	29	1	7	8	1	2	3	n/a	5141.983682	n/a
5142.849918	1.2166773	1	30	1	7	8	2	1	3	n/a	5143.183799	n/a
5144.083184	1.1835956	1	31	1	7	8	3	1	3	n/a	5144.417022	n/a
5145.283282	1.1835763	1	32	1	7	8	4	1	3	n/a	5145.616594	n/a
5146.499816	1.1835687	1	33	1	9	9	1	3	3	n/a	n/a	n/a
5147.699892	1.183084	1	34	1	9	9	2	3	3	n/a	n/a	n/a
5148.899534	1.1832039	1	35	1	9	9	3	3	3	n/a	n/a	n/a
5150.099361	1.1833078	1	36	1	9	9	4	3	3	n/a	n/a	n/a
