onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
66772.01717	1.199374618	1	1	1	9	1	1	3	n/a	n/a	66772.91646	n/a
66773.21654	1.200065371	1	2	1	9	1	2	3	n/a	n/a	66774.1166	n/a
66774.41661	1.200060913	1	3	1	9	1	3	3	n/a	n/a	66775.31664	n/a
66775.61667	1.200113444	1	4	1	9	1	4	3	n/a	n/a	66776.51674	n/a
66776.81678	1.200068687	1	5	1	9	1	5	3	n/a	n/a	66777.71679	n/a
66778.01685	1.200085966	1	6	1	9	1	6	3	n/a	n/a	66778.91689	n/a
66779.21694	1.200059086	1	7	1	9	1	7	3	n/a	n/a	66780.11697	n/a
66780.417	1.200103497	1	8	1	9	1	8	3	n/a	n/a	66781.31709	n/a
66781.6171	1.200077283	1	9	1	9	1	9	3	n/a	n/a	66782.51718	n/a
66782.81718	1.200082107	1	10	1	9	1	10	3	n/a	n/a	66783.7172	n/a
66784.01726	1.200148075	1	11	1	9	1	11	3	n/a	n/a	66784.91727	n/a
66785.21741	1.200002506	1	12	1	9	1	12	3	n/a	n/a	66786.1174	n/a
66786.41741	1.200102833	1	13	1	9	1	13	3	n/a	n/a	66787.3175	n/a
66787.61751	1.199943853	1	14	1	9	1	14	3	n/a	n/a	66788.51754	n/a
66788.81746	1.200200361	1	15	1	9	1	15	3	n/a	n/a	66789.71768	n/a
66790.01766	1.200014566	1	16	1	9	1	16	3	n/a	n/a	66790.91773	n/a
66791.21767	1.200191251	1	17	1	1	2	1	1	n/a	1	66792.11783	0.113356729
66792.41786	1.200020804	1	18	1	1	2	2	1	n/a	1	66793.31792	0.017384134
66793.61788	1.200088464	1	19	1	1	2	3	2	n/a	1	66794.51796	-0.07718701501
66794.81797	1.200129499	1	20	1	1	2	4	2	n/a	1	66795.71807	-0.080523009
66796.0181	1.200081015	1	21	1	1	2	5	1	n/a	0	66796.91815	-0.089006336
66797.21818	1.200067082	1	22	1	1	2	6	1	n/a	1	66798.11825	0.010682425
66798.41825	1.200088226	1	23	1	1	2	7	1	n/a	1	66799.31962	0.005900725999
66799.61834	1.200084199	1	24	1	1	2	8	2	n/a	1	66800.51839	0.01064641
66800.81842	1.200093417	1	25	1	1	2	9	1	n/a	1	66801.71852	0.019656449
66802.01852	1.200084693	1	26	1	1	2	10	2	n/a	1	66802.91847	0.010698952
66803.2186	1.200083036	1	27	1	1	2	11	2	n/a	1	66804.11866	-0.082799333
66804.41868	1.200086955	1	28	1	1	2	12	1	n/a	1	66805.31875	-0.09315674999
66805.61877	1.200066675	1	29	1	1	2	13	1	n/a	1	66806.51879	-0.08032168201
66806.81884	1.200088341	1	30	1	1	2	14	1	n/a	1	66807.71891	-0.08053357901
