onset	duration	run_number	trial_number	bar_direction	bar_period	bar_step	stim_noise_ori	trial_offset	stim_stair_val	response_val	probe_time	reaction_time
1825.426889	1.5972406	1	1	9	1	1	3	1827.02413	n/a	n/a	n/a	n/a
1827.02413	1.5996318	1	2	9	1	2	3	1828.623761	n/a	n/a	n/a	n/a
1828.623761	1.5998197	1	3	9	1	3	3	1830.223581	n/a	n/a	n/a	n/a
1830.223581	1.5999365	1	4	9	1	4	3	1831.823517	n/a	n/a	n/a	n/a
1831.823517	1.599829313	1	5	9	1	5	3	1833.423347	n/a	n/a	n/a	n/a
1833.423347	1.599581687	1	6	9	1	6	3	1835.022929	n/a	n/a	n/a	n/a
1835.022929	1.5998924	1	7	9	1	7	3	1836.622821	n/a	n/a	n/a	n/a
1836.622821	1.5997793	1	8	9	1	8	3	1838.2226	n/a	n/a	n/a	n/a
1838.2226	1.599820091	1	9	9	1	9	3	1839.82242	n/a	n/a	n/a	n/a
1839.82242	1.599715209	1	10	9	1	10	3	1841.422135	n/a	n/a	n/a	n/a
1841.422135	1.5997631	1	11	9	1	11	3	1843.021899	n/a	n/a	n/a	n/a
1843.021899	1.5997802	1	12	9	1	12	3	1844.621679	n/a	n/a	n/a	n/a
1844.621679	1.5997481	1	13	1	2	1	1	1846.221427	9	n/a	1845.121662	n/a
1846.221427	1.5997801	1	14	1	2	2	1	1847.821207	9	n/a	1846.721359	n/a
1847.821207	1.5997751	1	15	1	2	3	2	1849.420982	9	n/a	1848.321122	n/a
1849.420982	1.5997518	1	16	1	2	4	2	1851.020734	9	n/a	1849.920738	n/a
1851.020734	1.5997803	1	17	1	2	5	2	1852.620514	9	n/a	1851.520674	n/a
1852.620514	1.5996155	1	18	1	2	6	1	1854.22013	9	n/a	1853.120385	n/a
1854.22013	1.5999157	1	19	1	2	7	2	1855.820045	9	n/a	1854.720211	n/a
1855.820045	1.599714	1	20	1	2	8	1	1857.419759	9	n/a	1856.319911	n/a
1857.419759	1.5998511	1	21	1	2	9	1	1859.01961	9	1	1857.919762	0.8038118
1859.01961	1.5997331	1	22	1	2	10	2	1860.619344	9	1	1859.519534	0.8095401
1860.619344	1.5996408	1	23	1	2	11	1	1862.218984	9	1	1861.119329	0.8097835
1862.218984	1.5999396	1	24	1	2	12	1	1863.818924	8	n/a	1862.718965	n/a
1863.818924	1.5997665	1	25	1	2	13	2	1865.41869	8	1	1864.318888	0.911258
1865.41869	1.5997642	1	26	1	2	14	2	1867.018455	8	1	1865.918625	0.8099881
1867.018455	1.5997818	1	27	1	2	15	2	1868.618236	8	0	1867.518385	0.9101231
1868.618236	1.5996023	1	28	1	2	16	1	1870.217839	9	1	1869.118154	0.9102701
1870.217839	1.5999014	1	29	1	2	17	2	1871.81774	9	1	1870.717927	0.8111741
1871.81774	1.5997938	1	30	1	2	18	1	1873.417534	9	n/a	1872.317689	n/a
1873.417534	1.5997716	1	31	1	2	19	2	1875.017306	9	1	1873.917471	0.6125834
1875.017306	1.5997823	1	32	1	2	20	2	1876.617088	8	0	1875.517233	0.6131558
1876.617088	1.5995969	1	33	1	2	21	1	1878.216685	9	n/a	1877.117046	n/a
1878.216685	1.5999299	1	34	1	2	22	1	1879.816615	9	1	1878.716815	1.0100217
1879.816615	1.5997317	1	35	1	2	23	1	1881.416346	9	n/a	1880.316555	n/a
1881.416346	1.5997746	1	36	1	2	24	2	1883.016121	9	n/a	1881.916314	n/a
1883.016121	1.5998117	1	37	1	2	25	2	1884.615933	9	1	1883.516095	1.0094148
1884.615933	1.599808978	1	38	1	2	26	1	1886.215742	9	1	1885.115846	0.8253314
1886.215742	1.599718022	1	39	1	2	27	2	1887.81546	8	n/a	1886.715641	n/a
1887.81546	1.5997884	1	40	1	2	28	2	1889.415248	8	1	1888.315404	0.7089801
1889.415248	1.5997174	1	41	1	2	29	1	1891.014966	8	1	1889.91516	0.5086168
1891.014966	1.5997811	1	42	1	2	30	1	1892.614747	8	n/a	1891.514937	n/a
1892.614747	1.5998573	1	43	1	2	31	2	1894.214604	8	0	1893.1147	1.0030847
1894.214604	1.5996908	1	44	1	2	32	1	1895.814295	9	n/a	1894.71447	n/a
1895.814295	1.5996114	1	45	9	3	1	3	1897.413906	n/a	n/a	n/a	n/a
1897.413906	1.5999381	1	46	9	3	2	3	1899.013844	n/a	n/a	n/a	n/a
1899.013844	1.5997634	1	47	9	3	3	3	1900.613608	n/a	n/a	n/a	n/a
1900.613608	1.5997587	1	48	9	3	4	3	1902.213366	n/a	n/a	n/a	n/a
1902.213366	1.5997378	1	49	9	3	5	3	1903.813104	n/a	n/a	n/a	n/a
1903.813104	1.5998103	1	50	9	3	6	3	1905.412914	n/a	n/a	n/a	n/a
1905.412914	1.5997904	1	51	9	3	7	3	1907.012705	n/a	n/a	n/a	n/a
1907.012705	1.5996201	1	52	9	3	8	3	1908.612325	n/a	n/a	n/a	n/a
1908.612325	1.5999137	1	53	9	3	9	3	1910.212239	n/a	n/a	n/a	n/a
1910.212239	1.5997605	1	54	9	3	10	3	1911.811999	n/a	n/a	n/a	n/a
1911.811999	1.5997367	1	55	9	3	11	3	1913.411736	n/a	n/a	n/a	n/a
1913.411736	1.5998001	1	56	9	3	12	3	1915.011536	n/a	n/a	n/a	n/a
1915.011536	1.5996457	1	57	3	4	1	2	1916.611182	9	n/a	1915.511479	n/a
1916.611182	1.599942578	1	58	3	4	2	1	1918.211124	9	n/a	1917.111227	n/a
1918.211124	1.59977567	1	59	3	4	3	1	1919.8109	9	n/a	1918.711011	n/a
1919.8109	1.599534752	1	60	3	4	4	1	1921.410435	9	n/a	1920.310773	n/a
1921.410435	1.5999596	1	61	3	4	5	1	1923.010394	9	n/a	1921.91052	n/a
1923.010394	1.5997596	1	62	3	4	6	2	1924.610154	9	n/a	1923.510319	n/a
1924.610154	1.599828157	1	63	3	4	7	2	1926.209982	9	1	1925.110035	0.8319366
1926.209982	1.599716743	1	64	3	4	8	2	1927.809699	9	1	1926.709849	0.73804
1927.809699	1.5997803	1	65	3	4	9	2	1929.409479	9	1	1928.309626	1.0199557
1929.409479	1.599793	1	66	3	4	10	2	1931.009272	8	1	1929.909235	0.9134121
1931.009272	1.5997509	1	67	3	4	11	1	1932.609023	8	0	1931.509155	0.4311897
1932.609023	1.5997615	1	68	3	4	12	1	1934.208784	9	1	1933.1089	0.7195504
1934.208784	1.5997567	1	69	3	4	13	1	1935.808541	9	n/a	1934.708659	n/a
1935.808541	1.5997639	1	70	3	4	14	1	1937.408305	9	n/a	1936.308471	n/a
1937.408305	1.5997681	1	71	3	4	15	2	1939.008073	9	n/a	1937.908229	n/a
1939.008073	1.5997738	1	72	3	4	16	2	1940.607847	9	n/a	1939.508026	n/a
1940.607847	1.5995927	1	73	3	4	17	2	1942.20744	9	n/a	1941.107613	n/a
