onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
5308.203881	1.1989152	2	1	1	9	1	1	3	n/a	n/a	n/a	n/a
5309.402797	1.1998867	2	2	1	9	1	2	3	n/a	n/a	n/a	n/a
5310.602683	1.199925878	2	3	1	9	1	3	3	n/a	n/a	n/a	n/a
5311.802609	1.199735922	2	4	1	9	1	4	3	n/a	n/a	n/a	n/a
5313.002345	1.1998467	2	5	1	9	1	5	3	n/a	n/a	n/a	n/a
5314.202192	1.1998816	2	6	1	9	1	6	3	n/a	n/a	n/a	n/a
5315.402074	1.1998539	2	7	1	9	1	7	3	n/a	n/a	n/a	n/a
5316.601927	1.1999102	2	8	1	9	1	8	3	n/a	n/a	n/a	n/a
5317.801838	1.1998298	2	9	1	9	1	9	3	n/a	n/a	n/a	n/a
5319.001667	1.199937913	2	10	1	9	1	10	3	n/a	n/a	n/a	n/a
5320.201605	1.199851287	2	11	1	9	1	11	3	n/a	n/a	n/a	n/a
5321.401457	1.1997295	2	12	1	9	1	12	3	n/a	n/a	n/a	n/a
5322.601186	1.199996178	2	13	1	9	1	13	3	n/a	n/a	n/a	n/a
5323.801182	1.199782322	2	14	1	9	1	14	3	n/a	n/a	n/a	n/a
5325.000965	1.1998113	2	15	1	9	1	15	3	n/a	n/a	n/a	n/a
5326.200776	1.1999015	2	16	1	9	1	16	3	n/a	n/a	n/a	n/a
5327.400677	1.1997924	2	17	1	1	2	1	2	5	n/a	5327.800576	n/a
5328.60047	1.1998789	2	18	1	1	2	2	1	5	1	5329.000341	0.1100673
5329.800349	1.1999373	2	19	1	1	2	3	1	5	n/a	5330.200285	n/a
5331.000286	1.1998096	2	20	1	1	2	4	1	5	1	5331.40018	0.710486
5332.200096	1.1997689	2	21	1	1	2	5	2	5	0	5332.600084	0.7102362
5333.399865	1.1998044	2	22	1	1	2	6	2	6	1	5333.799899	0.5106729
5334.599669	1.2000731	2	23	1	1	2	7	2	6	0	5334.999706	0.5124578
5335.799742	1.1997783	2	24	1	1	2	8	2	7	1	5336.199547	0.4101883
5336.99952	1.199937069	2	25	1	1	2	9	2	7	n/a	5337.399487	n/a
5338.199457	1.199795631	2	26	1	1	2	10	2	7	1	5338.599336	0.7102069
5339.399253	1.1998433	2	27	1	1	2	11	2	7	0	5339.799164	0.5141177
5340.599096	1.1997807	2	28	1	1	2	12	2	8	1	5340.999029	0.5104821
5341.798877	1.1999193	2	29	1	1	2	13	1	8	1	5342.198862	0.5108833
5342.998796	1.1999224	2	30	1	1	2	14	1	8	1	5343.398768	0.6102607
5344.198719	1.1997547	2	31	1	1	2	15	1	7	1	5344.598473	0.71034
5345.398473	1.1998287	2	32	1	1	2	16	2	7	1	5345.798406	0.6090117
5346.598302	1.2000051	2	33	1	1	2	17	1	7	1	5346.998313	0.6096375
5347.798307	1.1997537	2	34	1	1	2	18	2	6	1	5348.198177	0.6094818
5348.998061	1.1998306	2	35	1	1	2	19	2	6	1	5349.398004	0.7093546
5350.197891	1.1998755	2	36	1	1	2	20	2	6	1	5350.597836	0.6095441
5351.397767	1.1998562	2	37	1	1	2	21	2	5	n/a	5351.797691	n/a
5352.597623	1.1998593	2	38	1	1	2	22	1	5	1	5352.997591	0.4094311
5353.797483	1.199827	2	39	1	1	2	23	1	5	1	5354.19753	0.6094948
5354.997309	1.1999577	2	40	1	1	2	24	2	5	n/a	5355.397276	n/a
5356.197267	1.1998276	2	41	1	1	2	25	2	5	n/a	5356.597188	n/a
5357.397095	1.1998603	2	42	1	1	2	26	1	5	0	5357.797013	0.1333962
5358.596955	1.1998041	2	43	1	1	2	27	1	6	n/a	5358.996796	n/a
5359.796759	1.199885	2	44	1	1	2	28	2	6	0	5360.19661	0.5100829
5360.996644	1.1999216	2	45	1	1	2	29	2	7	1	5361.396604	0.6096249
5362.196566	1.1997288	2	46	1	1	2	30	1	7	1	5362.596411	0.6092959
5363.396295	1.1999598	2	47	1	1	2	31	1	7	n/a	5363.796314	n/a
5364.596254	1.1996685	2	48	1	1	2	32	1	7	n/a	5364.996196	n/a
